Molecule,Atom,orbital_energy,Ef,E_vac,Ar_orbital_energy,Ar_ref
molecule_001,core_B_001,-197.693,-3.679,0.029389735827689688,-197.670,-296.946
molecule_001,core_B_002,-197.693,-3.679,0.029389763623149125,-197.671,-296.946
molecule_002,core_B_001,-197.005,-2.044,0.08855933758317931,-196.982,-296.885
molecule_002,core_C_002,-294.402,-1.095,0.09450552679447352,-294.380,-296.879
molecule_002,core_C_003,-295.193,-1.299,0.10380258203010996,-295.172,-296.869
molecule_002,core_C_004,-294.402,-1.095,0.09448936073381148,-294.380,-296.879
molecule_002,core_C_005,-295.194,-1.299,0.10379273485285971,-295.172,-296.869
molecule_002,core_C_006,-294.401,-1.094,0.09446080760093745,-294.380,-296.879
molecule_002,core_C_007,-295.193,-1.298,0.10381082626736504,-295.172,-296.869
molecule_003,core_B_001,-195.551,-1.884,0.1106498920579253,-195.528,-296.866
molecule_003,core_C_003,-296.790,-1.401,0.12318512447218236,-296.766,-296.853
molecule_003,core_C_004,-295.916,-1.623,0.12789062955440728,-295.891,-296.848
molecule_003,core_C_005,-296.329,-1.439,0.12243675502966019,-296.311,-296.856
molecule_003,core_C_006,-295.222,-1.553,0.12496546321141659,-295.201,-296.854
molecule_003,core_C_007,-296.329,-1.439,0.12243651334375094,-296.307,-296.856
molecule_003,core_C_008,-295.222,-1.553,0.12497270811499815,-295.201,-296.854
molecule_003,core_N_002,-413.302,-1.330,0.11984164545023326,-413.289,-296.858
molecule_004,core_B_001,-198.387,-2.009,0.05685627809848782,-198.363,-296.917
molecule_004,core_B_002,-198.388,-2.009,0.06154161126459761,-198.363,-296.918
molecule_004,core_B_003,-198.388,-2.009,0.06198812388405313,-198.364,-296.918
molecule_004,core_C_004,-294.286,-1.807,0.06296170968256648,-294.262,-296.917
molecule_004,core_C_005,-294.286,-1.808,0.0629514487582901,-294.263,-296.917
molecule_005,core_B_001,-197.888,-1.461,0.18135261376855105,-197.863,-296.791
molecule_005,core_B_010,-197.887,-1.461,0.18136264952481101,-197.863,-296.791
molecule_005,core_C_003,-294.479,-1.056,0.19357708884899857,-294.455,-296.783
molecule_005,core_C_004,-295.287,-1.142,0.20488409329621063,-295.262,-296.779
molecule_005,core_C_005,-295.108,-1.208,0.20168818551454784,-295.088,-296.771
molecule_005,core_C_006,-294.438,-1.077,0.1856425700654105,-294.418,-296.778
molecule_005,core_C_007,-295.244,-1.158,0.18533524359574677,-295.217,-296.772
molecule_005,core_C_008,-295.121,-1.241,0.20181974320307558,-295.096,-296.771
molecule_005,core_C_011,-294.441,-1.076,0.18568658394732676,-294.418,-296.778
molecule_005,core_C_012,-295.243,-1.158,0.18532811891397252,-295.219,-296.772
molecule_005,core_C_013,-295.121,-1.241,0.20182065684717648,-295.098,-296.771
molecule_005,core_C_014,-294.481,-1.056,0.19362152942332048,-294.455,-296.783
molecule_005,core_C_015,-295.287,-1.142,0.2048861867235052,-295.263,-296.779
molecule_005,core_C_016,-295.106,-1.208,0.20170032109945665,-295.088,-296.771
molecule_006,core_B_001,-197.688,-1.300,0.18347538628069793,-197.656,-296.792
molecule_006,core_B_004,-197.641,-1.247,0.1785224143418664,-197.618,-296.794
molecule_006,core_B_007,-197.602,-1.177,0.18307999623680293,-197.578,-296.791
molecule_006,core_C_002,-294.801,-1.199,0.19941135502762994,-294.772,-296.778
molecule_006,core_C_003,-295.106,-1.291,0.19545423154734617,-295.082,-296.779
molecule_006,core_C_005,-294.825,-1.163,0.1947851255701074,-294.801,-296.779
molecule_006,core_C_006,-295.106,-1.239,0.1941235857049206,-295.083,-296.777
molecule_006,core_C_008,-294.824,-1.217,0.2002055306617206,-294.801,-296.776
molecule_006,core_C_009,-295.086,-1.260,0.19783511992108024,-295.066,-296.776
