Molecule,Atom,orbital_energy,Ef,E_vac,Ar_orbital_energy,Ar_ref
molecule_001,core_B_001,-201.468,-8.584,0.20508610817480769,-201.444,-296.670
molecule_001,core_B_002,-201.468,-8.584,0.20508573479966669,-201.444,-296.670
molecule_002,core_B_001,-200.161,-6.490,0.26900253950962766,-200.136,-296.616
molecule_002,core_C_002,-295.945,-5.295,0.2675611492976813,-295.924,-296.618
molecule_002,core_C_003,-296.474,-4.900,0.2679269068582072,-296.451,-296.621
molecule_002,core_C_004,-295.945,-5.295,0.2675638787483454,-295.922,-296.617
molecule_002,core_C_005,-296.474,-4.900,0.26792874290909635,-296.454,-296.622
molecule_002,core_C_006,-295.946,-5.295,0.267553540970255,-295.923,-296.618
molecule_002,core_C_007,-296.474,-4.900,0.267934002543711,-296.451,-296.622
molecule_003,core_B_001,-198.247,-4.060,0.282446778424129,-198.224,-296.601
molecule_003,core_C_003,-297.885,-2.630,0.28842536518389206,-297.862,-296.598
molecule_003,core_C_004,-297.240,-2.303,0.29252481647705064,-297.215,-296.600
molecule_003,core_C_005,-297.656,-2.787,0.2875229238136087,-297.632,-296.599
molecule_003,core_C_006,-296.570,-2.763,0.2917114447258742,-296.546,-296.601
molecule_003,core_C_007,-297.657,-2.787,0.2875182840082369,-297.633,-296.599
molecule_003,core_C_008,-296.569,-2.763,0.2917102299110782,-296.546,-296.601
molecule_003,core_N_002,-414.573,-2.831,0.2877797388161756,-414.551,-296.599
molecule_004,core_B_001,-201.169,-6.916,0.23363918015708468,-201.145,-296.644
molecule_004,core_B_002,-201.169,-6.916,0.23763572510691333,-201.145,-296.644
molecule_004,core_B_003,-201.169,-6.916,0.23798123465994744,-201.145,-296.644
molecule_004,core_C_004,-296.547,-6.833,0.23836423429365383,-296.524,-296.644
molecule_004,core_C_005,-296.547,-6.833,0.23836426770458982,-296.524,-296.644
molecule_005,core_B_001,-200.118,-5.310,0.35271661409690436,-200.094,-296.535
molecule_005,core_B_010,-200.118,-5.310,0.3527158810848088,-200.094,-296.535
molecule_005,core_C_003,-295.579,-4.631,0.3529777291597732,-295.553,-296.537
molecule_005,core_C_004,-296.369,-4.384,0.34849407816284594,-296.343,-296.543
molecule_005,core_C_005,-296.354,-4.210,0.35018022321897,-296.330,-296.555
molecule_005,core_C_006,-295.560,-4.649,0.3513155553022318,-295.537,-296.537
molecule_005,core_C_007,-296.367,-4.407,0.3470323292258237,-296.346,-296.543
molecule_005,core_C_008,-296.375,-4.321,0.329486566285225,-296.352,-296.545
molecule_005,core_C_011,-295.560,-4.649,0.35131673062828694,-295.537,-296.537
