Molecule,Atom,Exp,SJ,SJn,Atom_indices,Type
molecule_001,B,196.5,197.69,201.47,B_001;B_002,B
molecule_002,B,195.5,197,200.16,B_001,B
molecule_003,B,193.2,195.56,198.25,B_001,B
molecule_004,B,196,198.39,201.17,B_001;B_002;B_003,B
molecule_005,B,195.9,197.89,200.12,B_001;B_010,B
molecule_006,B,194.7,197.69,199.66,B_004;B_001,B
molecule_007,B,195.2,198.15,200.4,B_009;B_004,B
molecule_007,B,195.7,198.91,200.75,B_002,B
molecule_007,B,196,198.95,201.11,B_007,B
molecule_008,B,194.9,197.63,200.09,B_009;B_011,B
molecule_008,B,196.1,199.82,201.38,B_002;B_006,B
molecule_008,B,195.6,198.2,200.83,B_004,B
molecule_009,B,194.5,198.09,199.84,B_004;B_013,B
molecule_009,B,195,198.78,199.97,B_017;B_006,B
molecule_009,B,195.6,199.12,200.67,B_012;B_015;B_016;B_005,B
molecule_009,B,196.3,199.74,201.31,B_003;B_014,B
molecule_010,B,194.7,198.19,199.95,B_006;B_013,B
molecule_010,B,195.4,198.67,200.51,B_004;B_012,B
molecule_010,B,195.6,198.94,200.63,B_017;B_015;B_005;B_003,B
molecule_010,B,196.4,199.36,201.3,B_002;B_014,B
molecule_002,C,289.8,294.4,295.95,C_006;C_004,C3-B
molecule_002,C,290.51,295.19,296.47,C_003;C_005;C_007,C3-B
molecule_003,C,290.6,295.91,297.24,C_004,C3-B
molecule_003,C,291.4,296.78,297.88,C_003,C3-B
molecule_004,C,290.2,294.29,296.55,C_005;C_004,C3-B
molecule_005,C,289.8,294.48,295.58,C_003;C_014,C3-B
molecule_005,C,290.3,295.12,296.37,C_008;C_007;C_012;C_015;C_004,C3-B
molecule_005,C,290.6,295.11,296.35,C_016;C_005,C3-B
molecule_006,C,287.2,293.65,295.14,C_013;C_010,C3-B
molecule_006,C,289,294.8,295.85,C_002;C_005,C3-B
molecule_006,C,290.3,295.11,296.31,C_003;C_009;C_012,C3-B
molecule_007,C,290.9,294.66,297.14,C_003;C_001,C3-B
molecule_008,C,291,294.99,297.41,C_008;C_001,C3-B
molecule_009,C,292.8,297.47,299.09,C_002;C_001,C3-B
molecule_010,C,292.2,296.51,298.38,C_016;C_001,C3-B
molecule_011,C,290.9,295.31,297.04,C_001,C3-C
molecule_012,C,290.57,295.33,296.73,C_003;C_001,C3-C
molecule_013,C,290.4,295.22,296.46,C_003;C_002;C_005;C_004,C3-C
molecule_013,C,290.48,296.03,296.92,C_001,C3-C
molecule_014,C,290.25,293.46,296.42,C_001,C2-C
molecule_014,C,290.73,293.84,296.96,C_002,C2-C
molecule_014,C,290.81,295.49,297.06,C_003,C3-C
molecule_015,C,289.83,295.44,296.87,C_003;C_004,C3-C
molecule_015,C,290.65,294.06,296.92,C_002,C2-C
molecule_015,C,290.69,293.39,295.99,C_001,C2-C
molecule_016,C,290.4,294.04,296.49,C_003,C3-C
molecule_016,C,291.07,293.8,297.11,C_002,C1-C
molecule_016,C,291.77,296.32,297.94,C_001,C1-C
molecule_017,C,290.11,293.91,296.2,C_001;C_004,C2-C
molecule_017,C,290.18,293.92,296.23,C_006,C2-C
molecule_017,C,290.25,293.96,296.31,C_005,C2-C
molecule_017,C,290.41,294.19,296.53,C_002,C2-C
molecule_017,C,290.7,295.44,296.81,C_003,C3-C
molecule_019,C,291.6,296.21,297.79,C_001,C3-N
molecule_020,C,289.7,293.86,296.03,C_001;C_004,C2-C
molecule_020,C,289.9,293.84,295.86,C_006,C2-C
molecule_020,C,290.2,293.89,296.21,C_005;C_007,C2-C
molecule_020,C,291.2,295.05,297.46,C_002,C2-N
molecule_023,C,291,295.74,297.93,C_002,C2-C
molecule_023,C,291.3,295.06,297.1,C_008;C_006,C2-C
molecule_023,C,291.3,294.89,297.05,C_007,C2-C
molecule_023,C,292,294.97,297.14,C_001;C_005,C2-C
molecule_023,C,292.5,295.89,298.15,C_003,C1-N
molecule_025,C,289.8,294.77,296.05,C_005;C_004,C2-C
molecule_025,C,290.8,295.18,296.93,C_003;C_001,C2-N
molecule_026,C,293.5,295.35,299.6,C_001,C1-N
molecule_027,C,292.68,294.96,298.85,C_002,C1-N
molecule_027,C,292.68,297.05,298.91,C_001,C3-C
molecule_030,C,291.26,296.1,297.46,C_003;C_002;C_004,C3-N
molecule_032,C,289.66,293.73,295.72,C_006;C_007,C3-N
molecule_032,C,290.93,294.99,296.88,C_008,C2-N
molecule_032,C,290.93,296.12,297.3,C_005,C3-N
molecule_032,C,290.93,294.76,296.56,C_002,C2-N
molecule_033,C,290.55,294.6,296.84,C_001;C_005,C2-C
molecule_033,C,290.89,294.55,296.62,C_006;C_009,C2-C
molecule_033,C,291.36,295.23,297.21,C_002,C2-C
molecule_033,C,291.8,295.45,297.58,C_003,C1-N
molecule_033,C,292.09,295.91,298.11,C_007,C2-N
molecule_037,C,291.6,295.34,297.62,C_003,C3-C
molecule_037,C,294,296.13,300.18,C_001,C2-O
molecule_038,C,292.3,296.95,298.67,C_001,C3-O
molecule_041,C,292.3,296.88,298.44,C_003;C_001,C3-O
molecule_043,C,291.55,296.15,297.93,C_001,C3-C
molecule_043,C,295.38,297.32,301.31,C_002,C2-O
molecule_044,C,296.03,297.4,301.73,C_001,C2-O
molecule_045,C,294.38,296.34,300.75,C_001,C2-O
molecule_046,C,291.23,295.29,297.27,C_001;C_004,C3-C
