System,Atom,Value,N_Atoms,Atom_indices
molecule_001,B,197.69,2,B_001;B_002
molecule_002,B,197.00,1,B_001
molecule_002,C,294.40,3,C_002;C_004;C_006
molecule_002,C,295.19,3,C_003;C_005;C_007
molecule_003,B,195.55,1,B_001
molecule_003,C,295.22,2,C_006;C_008
molecule_003,C,295.92,1,C_004
molecule_003,C,296.33,2,C_005;C_007
molecule_003,C,296.79,1,C_003
molecule_003,N,413.30,1,N_002
molecule_004,B,198.39,3,B_001;B_002;B_003
molecule_004,C,294.29,2,C_004;C_005
molecule_005,B,197.89,2,B_001;B_010
molecule_005,C,294.44,2,C_006;C_011
molecule_005,C,294.48,2,C_003;C_014
molecule_005,C,295.11,2,C_005;C_016
molecule_005,C,295.12,2,C_008;C_013
molecule_005,C,295.24,2,C_007;C_012
molecule_005,C,295.29,2,C_004;C_015
molecule_006,B,197.60,1,B_007
molecule_006,B,197.64,1,B_004
molecule_006,B,197.69,1,B_001
molecule_006,C,293.64,1,C_013
molecule_006,C,293.65,1,C_010
molecule_006,C,294.80,1,C_002
molecule_006,C,294.82,2,C_005;C_008
molecule_006,C,295.09,1,C_009
molecule_006,C,295.11,2,C_003;C_006
molecule_006,C,295.20,1,C_015
molecule_006,C,295.21,1,C_012
molecule_006,C,295.56,2,C_011;C_014
molecule_007,B,198.15,2,B_004;B_009
molecule_007,B,198.91,1,B_007
molecule_007,B,198.95,1,B_002
molecule_007,C,294.66,2,C_001;C_003
molecule_008,B,197.63,2,B_009;B_011
molecule_008,B,198.20,1,B_004
molecule_008,B,199.82,2,B_002;B_006
molecule_008,C,294.99,2,C_001;C_008
molecule_009,B,198.10,2,B_004;B_013
molecule_009,B,198.78,2,B_006;B_017
molecule_009,B,199.16,4,B_005;B_012;B_015;B_016
molecule_009,B,199.75,2,B_003;B_014
molecule_009,C,297.48,1,C_002
molecule_009,C,297.49,1,C_001
molecule_010,B,198.19,2,B_006;B_013
molecule_010,B,198.66,1,B_004
molecule_010,B,198.67,1,B_012
molecule_010,B,198.75,1,B_003
molecule_010,B,198.85,1,B_005
molecule_010,B,198.87,1,B_015
molecule_010,B,198.96,1,B_017
molecule_010,B,199.36,2,B_002;B_014
molecule_010,C,296.52,2,C_001;C_016
molecule_011,C,295.31,1,C_001
molecule_012,C,295.33,2,C_001;C_003
molecule_012,C,295.57,1,C_002
molecule_013,C,295.22,4,C_002;C_003;C_004;C_005
molecule_013,C,296.03,1,C_001
molecule_014,C,293.46,1,C_001
molecule_014,C,293.84,1,C_002
molecule_014,C,295.49,1,C_003
molecule_015,C,293.39,1,C_001
molecule_015,C,294.07,1,C_002
molecule_015,C,295.44,2,C_003;C_004
molecule_016,C,293.80,1,C_002
molecule_016,C,294.04,1,C_003
molecule_016,C,296.32,1,C_001
molecule_017,C,293.91,2,C_001;C_004
molecule_017,C,293.92,1,C_006
molecule_017,C,293.96,1,C_005
molecule_017,C,293.97,1,C_007
molecule_017,C,294.19,1,C_002
molecule_017,C,295.44,1,C_003
molecule_018,N,411.37,1,N_001
molecule_019,C,296.21,1,C_001
molecule_019,N,411.34,1,N_002
molecule_020,C,293.84,1,C_006
molecule_020,C,293.86,2,C_001;C_004
molecule_020,C,293.89,2,C_005;C_007
molecule_020,C,295.06,1,C_002
molecule_020,N,411.71,1,N_003
molecule_021,C,293.74,1,C_007
molecule_021,C,293.76,2,C_001;C_005
molecule_021,C,293.80,1,C_008
molecule_021,C,293.82,1,C_006
molecule_021,C,294.98,1,C_002
molecule_021,C,296.50,1,C_004
molecule_021,N,411.80,1,N_003
molecule_022,C,293.59,1,C_008
molecule_022,C,293.65,2,C_001;C_006
molecule_022,C,293.73,2,C_007;C_009
molecule_022,C,294.92,1,C_002
molecule_022,C,296.44,2,C_004;C_005
molecule_022,N,412.16,1,N_003
molecule_023,C,294.89,1,C_007
molecule_023,C,294.97,2,C_001;C_005
molecule_023,C,295.06,2,C_006;C_008
molecule_023,C,295.74,1,C_002
molecule_023,C,295.89,1,C_003
molecule_023,N,410.40,1,N_004
