System,Atom,Value,N_Atoms,Atom_indices
molecule_001,B,197.72,2,B_001;B_002
molecule_002,B,197.09,1,B_001
molecule_002,C,294.50,3,C_002;C_004;C_006
molecule_002,C,295.30,3,C_003;C_005;C_007
molecule_003,B,195.66,1,B_001
molecule_003,C,295.35,2,C_006;C_008
molecule_003,C,296.04,1,C_004
molecule_003,C,296.45,2,C_005;C_007
molecule_003,C,296.91,1,C_003
molecule_003,N,413.42,1,N_002
molecule_004,B,198.44,1,B_001
molecule_004,B,198.45,2,B_002;B_003
molecule_004,C,294.35,2,C_004;C_005
molecule_005,B,198.07,2,B_001;B_010
molecule_005,C,294.62,1,C_006
molecule_005,C,294.63,1,C_011
molecule_005,C,294.67,2,C_003;C_014
molecule_005,C,295.31,2,C_005;C_016
molecule_005,C,295.32,2,C_008;C_013
molecule_005,C,295.43,2,C_007;C_012
molecule_005,C,295.49,2,C_004;C_015
molecule_006,B,197.79,1,B_007
molecule_006,B,197.82,1,B_004
molecule_006,B,197.87,1,B_001
molecule_006,C,293.83,2,C_010;C_013
molecule_006,C,295.00,1,C_002
molecule_006,C,295.02,2,C_005;C_008
molecule_006,C,295.28,1,C_009
molecule_006,C,295.30,2,C_003;C_006
molecule_006,C,295.40,1,C_015
molecule_006,C,295.41,1,C_012
molecule_006,C,295.75,1,C_011
molecule_006,C,295.76,1,C_014
molecule_007,B,198.23,2,B_004;B_009
molecule_007,B,198.99,1,B_007
molecule_007,B,199.02,1,B_002
molecule_007,C,294.74,2,C_001;C_003
molecule_008,B,197.72,2,B_009;B_011
molecule_008,B,198.29,1,B_004
molecule_008,B,199.91,2,B_002;B_006
molecule_008,C,295.07,2,C_001;C_008
molecule_009,B,198.22,2,B_004;B_013
molecule_009,B,198.93,2,B_006;B_017
molecule_009,B,199.30,2,B_012;B_016
molecule_009,B,199.31,2,B_005;B_015
molecule_009,B,199.90,2,B_003;B_014
molecule_009,C,297.63,2,C_001;C_002
molecule_010,B,198.33,2,B_006;B_013
molecule_010,B,198.81,2,B_004;B_012
molecule_010,B,198.89,1,B_003
