System,Atom,Value,N_Atoms,Atom_indices
molecule_001,B,201.40,2,B_001;B_002
molecule_002,B,199.14,1,B_001
molecule_002,C,295.59,3,C_002;C_004;C_006
molecule_002,C,296.59,1,C_007
molecule_002,C,296.60,2,C_003;C_005
molecule_003,B,197.55,1,B_001
molecule_003,C,296.90,2,C_006;C_008
molecule_003,C,297.67,1,C_004
molecule_003,C,297.89,2,C_005;C_007
molecule_003,C,298.31,1,C_003
molecule_003,N,414.75,1,N_002
molecule_004,B,200.45,1,B_001
molecule_004,B,200.46,2,B_002;B_003
molecule_004,C,296.16,2,C_004;C_005
molecule_005,B,199.53,2,B_001;B_010
molecule_005,C,295.70,2,C_006;C_011
molecule_005,C,295.73,2,C_003;C_014
molecule_005,C,296.52,2,C_005;C_016
molecule_005,C,296.56,2,C_008;C_013
molecule_005,C,296.59,2,C_007;C_012
molecule_005,C,296.63,2,C_004;C_015
molecule_006,B,198.96,1,B_007
molecule_006,B,199.07,1,B_004
molecule_006,B,199.17,1,B_001
molecule_006,C,294.93,1,C_013
molecule_006,C,294.95,1,C_010
molecule_006,C,296.18,1,C_005
molecule_006,C,296.20,1,C_002
molecule_006,C,296.24,1,C_008
molecule_006,C,296.54,2,C_006;C_009
molecule_006,C,296.59,1,C_003
molecule_006,C,296.63,1,C_015
molecule_006,C,296.66,1,C_012
molecule_006,C,296.94,1,C_011
molecule_006,C,296.95,1,C_014
molecule_007,B,199.73,2,B_004;B_009
molecule_007,B,200.30,1,B_002
molecule_007,B,200.51,1,B_007
molecule_007,C,296.61,2,C_001;C_003
molecule_008,B,198.55,2,B_009;B_011
molecule_008,B,199.51,1,B_004
molecule_008,B,200.88,2,B_002;B_006
molecule_008,C,296.07,2,C_001;C_008
molecule_009,B,199.35,2,B_004;B_013
molecule_009,B,200.33,2,B_006;B_017
molecule_009,B,200.72,1,B_012
molecule_009,B,200.73,1,B_016
molecule_009,B,200.74,2,B_005;B_015
molecule_009,B,201.42,2,B_003;B_014
molecule_009,C,299.30,2,C_001;C_002
molecule_010,B,199.29,2,B_006;B_013
molecule_010,B,199.78,1,B_003
molecule_010,B,199.88,1,B_004
molecule_010,B,199.89,1,B_012
molecule_010,B,199.98,1,B_005
molecule_010,B,200.01,1,B_015
molecule_010,B,200.17,1,B_017
molecule_010,B,200.59,2,B_002;B_014
molecule_010,C,297.80,2,C_001;C_016
molecule_011,C,296.91,1,C_001
molecule_012,C,296.77,2,C_001;C_003
molecule_012,C,296.98,1,C_002
molecule_013,C,296.65,4,C_002;C_003;C_004;C_005
molecule_013,C,297.36,1,C_001
molecule_014,C,294.69,1,C_001
molecule_014,C,295.28,1,C_002
molecule_014,C,296.86,1,C_003
molecule_015,C,294.57,1,C_001
molecule_015,C,295.51,1,C_002
molecule_015,C,296.85,1,C_004
molecule_015,C,296.86,1,C_003
molecule_016,C,294.60,1,C_002
molecule_016,C,295.12,1,C_003
molecule_016,C,297.91,1,C_001
molecule_017,C,295.48,1,C_006
molecule_017,C,295.49,1,C_001
molecule_017,C,295.52,1,C_004
molecule_017,C,295.59,1,C_005
molecule_017,C,295.61,1,C_007
molecule_017,C,295.85,1,C_002
molecule_017,C,296.82,1,C_003
molecule_018,N,413.30,1,N_001
molecule_019,C,297.81,1,C_001
