System,Atom,Value,N_Atoms,Atom_indices
molecule_001,B,-95.23,2,B_001;B_002
molecule_002,B,-96.48,1,B_001
molecule_002,C,-0.69,3,C_002;C_004;C_006
molecule_002,C,-0.17,3,C_003;C_005;C_007
molecule_003,B,-98.38,1,B_001
molecule_003,C,-0.06,2,C_006;C_008
molecule_003,C,0.61,1,C_004
molecule_003,C,1.03,2,C_005;C_007
molecule_003,C,1.26,1,C_003
molecule_003,N,117.95,1,N_002
molecule_004,B,-95.50,3,B_001;B_002;B_003
molecule_004,C,-0.12,2,C_004;C_005
molecule_005,B,-96.44,2,B_001;B_010
molecule_005,C,-1.00,2,C_006;C_011
molecule_005,C,-0.98,2,C_003;C_014
molecule_005,C,-0.23,2,C_005;C_016
molecule_005,C,-0.20,4,C_004;C_007;C_012;C_015
molecule_005,C,-0.19,2,C_008;C_013
molecule_006,B,-96.90,2,B_001;B_004
molecule_006,B,-96.88,1,B_007
molecule_006,C,-1.42,2,C_010;C_013
molecule_006,C,-0.72,2,C_002;C_005
molecule_006,C,-0.70,1,C_008
molecule_006,C,-0.28,1,C_006
molecule_006,C,-0.26,2,C_003;C_009
molecule_006,C,-0.25,2,C_012;C_015
molecule_006,C,-0.04,1,C_011
molecule_006,C,-0.03,1,C_014
molecule_007,B,-96.25,2,B_004;B_009
molecule_007,B,-95.90,1,B_002
molecule_007,B,-95.55,1,B_007
molecule_007,C,0.49,2,C_001;C_003
molecule_008,B,-96.56,2,B_009;B_011
molecule_008,B,-95.82,1,B_004
molecule_008,B,-95.27,2,B_002;B_006
molecule_008,C,0.76,2,C_001;C_008
molecule_009,B,-96.75,2,B_004;B_013
molecule_009,B,-96.62,2,B_006;B_017
molecule_009,B,-95.92,4,B_005;B_012;B_015;B_016
molecule_009,B,-95.28,2,B_003;B_014
molecule_009,C,2.50,2,C_001;C_002
molecule_010,B,-96.64,2,B_006;B_013
molecule_010,B,-96.08,2,B_004;B_012
molecule_010,B,-95.96,4,B_003;B_005;B_015;B_017
molecule_010,B,-95.30,2,B_002;B_014
molecule_010,C,1.79,2,C_001;C_016
molecule_011,C,0.33,1,C_001
molecule_012,C,0.05,2,C_001;C_003
molecule_012,C,0.20,1,C_002
molecule_013,C,-0.20,4,C_002;C_003;C_004;C_005
molecule_013,C,0.25,1,C_001
molecule_014,C,-0.26,1,C_001
molecule_014,C,0.27,1,C_002
molecule_014,C,0.38,1,C_003
molecule_015,C,-0.69,1,C_001
molecule_015,C,0.20,2,C_003;C_004
molecule_015,C,0.25,1,C_002
molecule_016,C,-0.20,1,C_003
molecule_016,C,0.43,1,C_002
molecule_016,C,1.25,1,C_001
