System,Atom,Value,N_Atoms,Atom_indices
molecule_001,B,192.88,2,B_001;B_002
molecule_002,B,193.67,1,B_001
molecule_002,C,290.65,3,C_002;C_004;C_006
molecule_002,C,291.57,3,C_003;C_005;C_007
molecule_003,B,194.19,1,B_001
molecule_003,C,293.81,2,C_006;C_008
molecule_003,C,294.87,2,C_005;C_007
molecule_003,C,294.94,1,C_004
molecule_003,C,295.25,1,C_003
molecule_003,N,411.74,1,N_002
molecule_004,B,194.25,3,B_001;B_002;B_003
molecule_004,C,289.71,2,C_004;C_005
molecule_005,B,194.81,2,B_001;B_010
molecule_005,C,290.91,2,C_006;C_011
molecule_005,C,290.95,2,C_003;C_014
molecule_005,C,291.96,2,C_007;C_012
molecule_005,C,291.99,2,C_004;C_015
molecule_005,C,292.05,2,C_008;C_013
molecule_005,C,292.14,2,C_005;C_016
molecule_006,B,194.68,1,B_001
molecule_006,B,194.71,1,B_004
molecule_006,B,194.74,1,B_007
molecule_006,C,290.22,2,C_010;C_013
molecule_006,C,291.52,1,C_002
molecule_006,C,291.57,1,C_005
molecule_006,C,291.59,1,C_008
molecule_006,C,292.09,1,C_003
molecule_006,C,292.14,1,C_009
molecule_006,C,292.15,1,C_012
molecule_006,C,292.16,1,C_006
molecule_006,C,292.18,2,C_011;C_015
molecule_006,C,292.21,1,C_014
molecule_007,B,194.31,2,B_004;B_009
molecule_007,B,194.81,1,B_002
molecule_007,B,195.22,1,B_007
molecule_007,C,290.88,2,C_001;C_003
molecule_008,B,193.90,2,B_009;B_011
molecule_008,B,194.62,1,B_004
molecule_008,B,195.62,2,B_002;B_006
molecule_008,C,291.31,2,C_001;C_008
molecule_009,B,193.95,2,B_004;B_013
molecule_009,B,194.17,2,B_006;B_017
molecule_009,B,194.80,4,B_005;B_012;B_015;B_016
molecule_009,B,195.43,2,B_003;B_014
molecule_009,C,293.15,2,C_001;C_002
molecule_010,B,194.10,1,B_006
molecule_010,B,194.11,1,B_013
molecule_010,B,194.66,2,B_004;B_012
molecule_010,B,194.87,4,B_003;B_005;B_015;B_017
molecule_010,B,195.44,2,B_002;B_014
molecule_010,C,292.53,2,C_001;C_016
molecule_011,C,289.12,1,C_001
molecule_012,C,290.80,1,C_002
molecule_012,C,290.99,2,C_001;C_003
molecule_013,C,290.96,2,C_002;C_004
molecule_013,C,290.97,2,C_003;C_005
molecule_013,C,291.11,1,C_001
molecule_014,C,289.79,1,C_001
molecule_014,C,290.29,1,C_002
molecule_014,C,291.62,1,C_003
molecule_015,C,289.83,1,C_001
molecule_015,C,290.70,1,C_002
molecule_015,C,291.83,2,C_003;C_004
molecule_016,C,289.98,1,C_003
molecule_016,C,290.54,1,C_002
molecule_016,C,292.56,1,C_001
molecule_017,C,290.54,1,C_006
molecule_017,C,290.61,1,C_004
molecule_017,C,290.62,1,C_001
