System,Atom,Value,N_Atoms,Atom_indices
molecule_001,B,192.68,2,B_001;B_002
molecule_002,B,193.40,1,B_001
molecule_002,C,290.38,3,C_002;C_004;C_006
molecule_002,C,291.31,3,C_003;C_005;C_007
molecule_003,B,193.90,1,B_001
molecule_003,C,293.51,1,C_008
molecule_003,C,293.52,1,C_006
molecule_003,C,294.58,2,C_005;C_007
molecule_003,C,294.64,1,C_004
molecule_003,C,294.97,1,C_003
molecule_003,N,411.45,1,N_002
molecule_004,B,194.02,3,B_001;B_002;B_003
molecule_004,C,289.48,2,C_004;C_005
molecule_005,B,194.46,2,B_001;B_010
molecule_005,C,290.56,2,C_006;C_011
molecule_005,C,290.60,2,C_003;C_014
molecule_005,C,291.61,2,C_007;C_012
molecule_005,C,291.64,2,C_004;C_015
molecule_005,C,291.72,2,C_008;C_013
molecule_005,C,291.79,2,C_005;C_016
molecule_006,B,194.33,1,B_001
molecule_006,B,194.37,1,B_004
molecule_006,B,194.39,1,B_007
molecule_006,C,289.87,1,C_010
molecule_006,C,289.88,1,C_013
molecule_006,C,291.18,1,C_002
molecule_006,C,291.23,1,C_008
molecule_006,C,291.25,1,C_005
molecule_006,C,291.74,1,C_003
molecule_006,C,291.79,1,C_009
molecule_006,C,291.81,1,C_012
molecule_006,C,291.82,1,C_015
molecule_006,C,291.83,1,C_011
molecule_006,C,291.84,1,C_006
molecule_006,C,291.86,1,C_014
molecule_007,B,194.05,2,B_004;B_009
molecule_007,B,194.56,1,B_002
molecule_007,B,194.96,1,B_007
molecule_007,C,290.63,2,C_001;C_003
molecule_008,B,193.64,2,B_009;B_011
molecule_008,B,194.35,1,B_004
molecule_008,B,195.37,2,B_002;B_006
molecule_008,C,291.05,2,C_001;C_008
molecule_009,B,193.65,2,B_004;B_013
molecule_009,B,193.87,2,B_006;B_017
molecule_009,B,194.50,4,B_005;B_012;B_015;B_016
molecule_009,B,195.13,2,B_003;B_014
molecule_009,C,292.85,2,C_001;C_002
molecule_010,B,193.80,2,B_006;B_013
molecule_010,B,194.35,2,B_004;B_012
molecule_010,B,194.55,4,B_003;B_005;B_015;B_017
molecule_010,B,195.13,2,B_002;B_014
molecule_010,C,292.22,2,C_001;C_016
molecule_011,C,288.93,1,C_001
molecule_012,C,290.58,1,C_002
molecule_012,C,290.78,2,C_001;C_003
molecule_013,C,290.72,3,C_003;C_004;C_005
molecule_013,C,290.73,1,C_002
molecule_013,C,290.87,1,C_001
molecule_014,C,289.57,1,C_001
molecule_014,C,290.07,1,C_002
molecule_014,C,291.39,1,C_003
molecule_015,C,289.60,1,C_001
molecule_015,C,290.48,1,C_002
molecule_015,C,291.61,2,C_003;C_004
molecule_016,C,289.76,1,C_003
molecule_016,C,290.32,1,C_002
molecule_016,C,292.34,1,C_001
molecule_017,C,290.27,1,C_006
molecule_017,C,290.34,1,C_004
molecule_017,C,290.35,1,C_001
molecule_017,C,290.43,1,C_007
molecule_017,C,290.44,1,C_005
molecule_017,C,290.54,1,C_002
molecule_017,C,291.63,1,C_003
molecule_018,N,406.36,1,N_001
molecule_019,C,292.51,1,C_001
molecule_019,N,406.99,1,N_002
molecule_020,C,290.74,1,C_006
molecule_020,C,290.78,2,C_001;C_004
molecule_020,C,291.00,2,C_005;C_007
molecule_020,C,292.18,1,C_002
molecule_020,N,408.31,1,N_003
molecule_021,C,290.83,1,C_007
molecule_021,C,290.86,1,C_005
molecule_021,C,290.87,1,C_001
molecule_021,C,291.09,1,C_008
molecule_021,C,291.14,1,C_006
molecule_021,C,292.33,1,C_002
molecule_021,C,293.58,1,C_004
molecule_021,N,408.33,1,N_003
molecule_022,C,290.92,2,C_001;C_006
molecule_022,C,290.95,1,C_008
molecule_022,C,291.20,2,C_007;C_009
molecule_022,C,292.46,1,C_002
molecule_022,C,293.59,2,C_004;C_005
molecule_022,N,408.45,1,N_003
molecule_023,C,290.12,1,C_007
molecule_023,C,290.35,2,C_001;C_005
molecule_023,C,290.42,2,C_006;C_008
molecule_023,C,290.89,1,C_002
molecule_023,C,291.48,1,C_003
molecule_023,N,405.86,1,N_004
molecule_024,C,290.68,2,C_004;C_006
molecule_024,C,290.87,1,C_005
molecule_024,C,291.08,2,C_001;C_003
molecule_024,N,405.85,1,N_002
molecule_025,C,290.93,2,C_004;C_005
molecule_025,C,291.44,2,C_001;C_003
molecule_025,N,409.05,1,N_002
molecule_026,C,290.03,1,C_001
molecule_026,N,404.95,1,N_002
molecule_027,C,290.61,1,C_002
molecule_027,C,292.11,1,C_001
molecule_027,N,405.11,1,N_003
molecule_028,C,292.76,2,C_002;C_003
molecule_028,N,407.37,1,N_001
molecule_029,C,292.05,1,C_001
molecule_029,C,292.58,1,C_002
molecule_029,N,407.00,1,N_003
molecule_030,C,292.84,3,C_002;C_003;C_004
molecule_030,N,407.75,1,N_001
molecule_031,C,292.36,2,C_003;C_005
molecule_031,C,292.81,2,C_002;C_004
molecule_031,N,407.22,1,N_001
molecule_032,C,291.15,1,C_001
molecule_032,C,291.18,1,C_006
molecule_032,C,291.20,1,C_007
molecule_032,C,291.28,1,C_010
molecule_032,C,292.13,1,C_002
molecule_032,C,292.44,1,C_008
molecule_032,C,293.43,1,C_004
molecule_032,C,293.48,1,C_005
molecule_032,N,408.53,1,N_003
molecule_032,N,408.93,1,N_009
molecule_033,C,290.87,2,C_006;C_009
molecule_033,C,291.04,2,C_001;C_005
molecule_033,C,291.34,1,C_002
molecule_033,C,291.99,1,C_003
molecule_033,C,292.17,1,C_007
molecule_033,N,406.30,1,N_004
molecule_033,N,408.19,1,N_008
molecule_034,C,291.84,1,C_003
molecule_034,C,292.00,1,C_002
molecule_034,C,292.74,1,C_001
molecule_034,N,406.93,1,N_004
molecule_035,C,291.74,1,C_003
molecule_035,C,291.88,2,C_002;C_004
molecule_035,C,292.83,1,C_001
molecule_035,N,406.88,1,N_005
molecule_036,O,540.17,1,O_001
molecule_037,C,291.08,1,C_003
molecule_037,C,292.34,1,C_001
molecule_037,O,539.39,1,O_002
molecule_038,C,292.65,1,C_001
molecule_038,O,541.07,1,O_002
molecule_039,C,291.57,2,C_002;C_003
molecule_039,C,292.96,1,C_001
molecule_039,O,541.17,1,O_004
molecule_040,C,291.46,1,C_003
molecule_040,C,291.47,1,C_002
molecule_040,C,291.58,1,C_004
molecule_040,C,293.02,1,C_001
molecule_040,O,541.17,1,O_005
molecule_041,C,293.05,2,C_001;C_003
molecule_041,O,541.64,1,O_002
molecule_042,C,292.09,2,C_001;C_005
molecule_042,C,293.11,2,C_002;C_004
molecule_042,O,541.53,1,O_003
molecule_043,C,291.68,1,C_001
molecule_043,C,293.72,1,C_002
molecule_043,O,539.24,1,O_003
molecule_043,O,542.35,1,O_004
molecule_044,C,293.42,1,C_001
molecule_044,O,539.20,1,O_002
molecule_044,O,542.14,1,O_003
molecule_045,C,292.05,1,C_001
molecule_045,O,539.44,1,O_002
molecule_046,C,291.26,2,C_001;C_004
molecule_046,C,292.58,1,C_002
molecule_046,O,539.33,1,O_003
