Molecule,Atom,Exp
molecule_001,B_001,196.5
molecule_002,B_001,195.5
molecule_002,C_002,289.8
molecule_002,C_003,290.51
molecule_003,B_001,193.2
molecule_003,C_004,290.6
molecule_004,B_001,196
molecule_004,C_004,290.2
molecule_005,B_001,195.9
molecule_005,C_003,289.8
molecule_005,C_004,290.3
molecule_005,C_005,290.6
molecule_006,B_001,194.7
molecule_006,C_010,287.2
molecule_006,C_002,289
molecule_006,C_003,290.3
molecule_007,B_004,195.2
molecule_007,B_007,195.7
molecule_007,B_002,196
molecule_007,C_001,290.9
molecule_008,B_009,194.9
molecule_008,B_002,196.1
molecule_008,B_004,195.6
molecule_008,C_001,291
molecule_009,B_004,194.5
molecule_009,B_006,195
molecule_009,B_005,195.6
molecule_009,B_003,196.3
molecule_009,C_001,292.8
molecule_010,B_006,194.7
molecule_010,B_004,195.4
molecule_010,B_003,195.6
molecule_010,B_002,196.4
molecule_010,C_001,292.2
molecule_011,C_001,290.9
molecule_012,C_001,290.57
molecule_013,C_002,290.4
molecule_013,C_001,290.48
molecule_014,C_001,290.25
molecule_014,C_002,290.73
molecule_014,C_003,290.81
molecule_015,C_003,289.83
molecule_015,C_002,290.65
molecule_015,C_001,290.69
molecule_016,C_003,290.4
molecule_016,C_002,291.07
molecule_016,C_001,291.77
molecule_017,C_004,290.11
molecule_017,C_006,290.18
molecule_017,C_005,290.25
molecule_017,C_002,290.41
molecule_017,C_003,290.7
molecule_018,N_001,405.6
molecule_019,C_001,291.6
molecule_019,N_002,405.1
molecule_020,C_001,289.7
molecule_020,C_006,289.9
molecule_020,C_005,290.2
molecule_020,C_002,291.2
molecule_020,N_003,405.4
molecule_021,N_003,405
molecule_022,N_003,405.1
molecule_023,C_002,291
molecule_023,C_006,291.3
molecule_023,C_007,291.3
molecule_023,C_001,292
molecule_023,C_003,292.5
molecule_023,N_004,405
molecule_024,N_002,404.9
molecule_025,C_004,289.8
molecule_025,C_001,290.8
molecule_025,N_002,406.1
molecule_026,C_001,293.5
molecule_026,N_002,406.8
molecule_027,C_002,292.68
molecule_027,C_001,292.68
molecule_027,N_003,405.6
molecule_028,N_001,404.9
molecule_029,N_003,405
molecule_030,C_002,291.26
molecule_030,N_001,404.8
molecule_031,N_001,404.6
molecule_032,C_007,289.66
molecule_032,C_006,289.66
molecule_032,C_008,290.93
molecule_032,C_005,290.93
molecule_032,C_002,290.93
molecule_032,N_003,404.8
molecule_032,N_009,404.8
molecule_033,C_001,290.55
molecule_033,C_006,290.89
molecule_033,C_002,291.36
molecule_033,C_003,291.8
molecule_033,C_007,292.09
molecule_033,N_004,404.5
molecule_033,N_008,405.8
molecule_034,N_004,404.82
molecule_035,N_005,404.69
molecule_036,O_001,539.7
molecule_037,C_003,291.6
molecule_037,C_001,294
molecule_037,O_002,538.5
molecule_038,C_001,292.3
molecule_038,O_002,538.9
molecule_039,O_004,538.35
molecule_040,O_005,538.14
molecule_041,C_001,292.3
molecule_041,O_002,539.03
molecule_042,O_003,537.86
molecule_043,C_001,291.55
molecule_043,C_002,295.38
molecule_043,O_003,538.33
molecule_043,O_004,540.12
molecule_044,C_001,296.03
molecule_044,O_002,538.92
molecule_044,O_003,540.6
molecule_045,C_001,294.38
molecule_045,O_002,539.42
molecule_046,C_001,291.23
molecule_046,C_002,293.88
molecule_046,O_003,538.05
molecule_047,C_002,292.31
molecule_047,O_004,539.01
molecule_048,C_001,296.24
molecule_048,O_002,542.57
molecule_049,C_002,297.91
molecule_049,O_003,541.3
molecule_050,O_001,543.1
molecule_051,O_001,541.8
molecule_052,C_001,291.13
molecule_052,C_002,294.73
molecule_052,O_003,540.25
molecule_053,C_006,290.2
molecule_053,C_004,290.2
molecule_053,C_005,290.6
molecule_053,C_002,292
molecule_053,O_003,538.9
molecule_054,C_006,290.54
molecule_054,C_001,291.53
molecule_054,C_005,292.32
molecule_054,C_002,294.94
molecule_054,O_003,538.14
molecule_054,O_004,539.64
molecule_055,F_001,694.23
molecule_056,F_001,696.69
molecule_057,C_001,293.6
molecule_057,F_002,692.4
molecule_058,C_001,296.44
molecule_058,F_002,693.65
molecule_059,C_001,299.1
molecule_059,F_003,694.1
molecule_060,C_001,301.8
molecule_060,F_002,695
molecule_061,C_001,291.33
molecule_061,C_002,296.1
molecule_061,F_003,694.44
molecule_062,C_001,292.07
molecule_062,C_002,298.64
molecule_062,F_003,694.12
molecule_063,C_003,293.87
molecule_063,C_002,296.25
molecule_063,F_004,694.1
molecule_063,F_001,694.8
molecule_064,C_006,290.54
molecule_064,C_001,290.54
molecule_064,C_005,290.87
molecule_064,C_002,292.7
molecule_064,F_003,692.93
molecule_065,C_007,291.14
molecule_065,C_001,291.14
molecule_065,C_002,293.29
molecule_065,F_003,693.25
molecule_066,C_001,291.12
molecule_066,C_004,291.12
molecule_066,C_008,291.12
molecule_066,C_002,293.24
molecule_066,F_003,693.18
molecule_067,C_001,291.18
molecule_067,C_002,293.16
molecule_067,F_003,693.18
molecule_068,C_001,292.24
molecule_068,C_002,292.24
molecule_068,C_003,299.7
molecule_068,F_004,694.75
