System,Atom,BE,N
Ca/bulk,Ca,426.72,1
Ca/bulk,Ca,426.74,1
Ca/bulk,Ca,426.75,2
CaH2/bulk,Ca,425.85,4
CaO/bulk,O,538.79,3
CaO/bulk,O,538.8,1
CaO/bulk,Ca,425.49,4
CaH2/3,Ca,426.18,4
CaH2/3,Ca,426.41,4
CaH2/3,Ca,427.03,4
CaH2/4,Ca,426.36,4
CaH2/4,Ca,426.54,4
CaH2/4,Ca,426.82,4
CaH2/4,Ca,427.36,4
CaH2/5,Ca,426.52,4
CaH2/5,Ca,426.71,4
CaH2/5,Ca,426.96,4
CaH2/5,Ca,427.2,4
CaH2/5,Ca,427.41,3
CaH2/5,Ca,427.42,1
CaH2/6,Ca,426.69,1
CaH2/6,Ca,426.7,3
CaH2/6,Ca,426.89,4
CaH2/6,Ca,427.11,4
CaH2/6,Ca,427.23,4
CaH2/6,Ca,427.27,4
CaH2/6,Ca,427.37,3
CaH2/6,Ca,427.38,1
CaH2/7,Ca,426.86,4
CaH2/7,Ca,427.05,4
CaH2/7,Ca,427.22,4
CaH2/7,Ca,427.25,4
CaH2/7,Ca,427.27,6
CaH2/7,Ca,427.28,2
CaH2/7,Ca,427.35,2
CaH2/7,Ca,427.36,1
CaH2/7,Ca,427.37,1
CaO_OH2/3,Ca,426.49,2
CaO_OH2/3,Ca,426.55,1
CaO_OH2/3,Ca,426.57,1
CaO_OH2/3,Ca,426.93,1
CaO_OH2/3,Ca,428.06,1
CaO_OH2/3,O,541.13,2
CaO_OH2/3,O,541.15,1
CaO_OH2/3,O,541.18,1
CaO_OH2/3,O,542.4,1
CaO_OH2/3,O,542.42,1
CaO_OH2/3,O,542.52,1
CaO_OH2/3,O,542.54,1
CaO/3,Ca,426.38,1
CaO/3,Ca,426.39,1
CaO/3,Ca,426.52,2
CaO/3,Ca,427.05,2
CaO/3,O,540.89,2
CaO/3,O,541.06,2
CaO/3,O,541.2,1
CaO/3,O,541.21,1
CaO/4,Ca,426.37,1
CaO/4,Ca,426.38,1
CaO/4,Ca,426.43,1
CaO/4,Ca,426.46,1
CaO/4,Ca,426.48,1
CaO/4,Ca,426.49,1
CaO/4,Ca,427.01,1
CaO/4,Ca,427.02,1
CaO/4,O,540.91,1
CaO/4,O,540.94,1
CaO/4,O,541.15,1
CaO/4,O,541.16,2
CaO/4,O,541.17,1
CaO/4,O,541.24,2
CaO/5,O,540.95,2
CaO/5,O,541.14,1
CaO/5,O,541.16,1
CaO/5,O,541.18,1
CaO/5,O,541.19,1
CaO/5,O,541.2,1
CaO/5,O,541.21,1
CaO/5,O,541.23,2
CaO/5,Ca,426.35,1
CaO/5,Ca,426.43,2
CaO/5,Ca,426.44,1
CaO/5,Ca,426.45,1
CaO/5,Ca,426.46,1
CaO/5,Ca,426.47,1
CaO/5,Ca,426.48,1
CaO/5,Ca,426.97,1
CaO/5,Ca,427,1
CaO/6,O,540.88,1
CaO/6,O,540.96,1
CaO/6,O,541.17,2
CaO/6,O,541.18,2
CaO/6,O,541.19,1
CaO/6,O,541.21,1
CaO/6,O,541.22,2
CaO/6,O,541.24,1
CaO/6,O,541.25,1
CaO/6,Ca,426.36,2
CaO/6,Ca,426.41,2
CaO/6,Ca,426.43,3
CaO/6,Ca,426.44,1
CaO/6,Ca,426.45,2
CaO/6,Ca,426.98,2
CaO/7,O,540.87,1
CaO/7,O,540.96,1
CaO/7,O,541,1
CaO/7,O,541.18,3
CaO/7,O,541.19,1
CaO/7,O,541.21,2
CaO/7,O,541.23,2
CaO/7,O,541.25,1
CaO/7,O,541.26,1
CaO/7,O,541.27,1
CaO/7,Ca,426.36,3
CaO/7,Ca,426.37,1
CaO/7,Ca,426.4,3
CaO/7,Ca,426.42,1
CaO/7,Ca,426.43,2
CaO/7,Ca,426.45,2
CaO/7,Ca,426.97,2
CaO/8,O,540.97,1
CaO/8,O,540.98,1
CaO/8,O,541.19,4
CaO/8,O,541.21,2
CaO/8,O,541.22,4
CaO/8,O,541.23,1
CaO/8,O,541.24,1
CaO/8,O,541.26,1
CaO/8,O,541.27,1
CaO/8,Ca,426.32,1
CaO/8,Ca,426.35,2
CaO/8,Ca,426.4,2
CaO/8,Ca,426.42,4
CaO/8,Ca,426.43,1
CaO/8,Ca,426.44,2
CaO/8,Ca,426.45,1
CaO/8,Ca,426.51,1
CaO/8,Ca,426.96,1
CaO/8,Ca,426.98,1
Ca/3,Ca,426.41,2
Ca/3,Ca,426.5,2
Ca/3,Ca,426.96,2
Ca/4,Ca,426.4,1
Ca/4,Ca,426.41,1
Ca/4,Ca,426.46,2
Ca/4,Ca,426.52,1
Ca/4,Ca,426.53,1
Ca/4,Ca,426.96,1
Ca/4,Ca,426.98,1
Ca/5,Ca,426.4,2
Ca/5,Ca,426.46,2
Ca/5,Ca,426.47,2
Ca/5,Ca,426.52,2
Ca/5,Ca,426.95,2
Ca/6,Ca,426.4,1
Ca/6,Ca,426.42,1
Ca/6,Ca,426.49,1
Ca/6,Ca,426.5,1
Ca/6,Ca,426.51,1
Ca/6,Ca,426.52,1
Ca/6,Ca,426.53,2
Ca/6,Ca,426.54,2
Ca/6,Ca,426.96,1
Ca/6,Ca,426.97,1
Ca/7,Ca,426.4,1
Ca/7,Ca,426.41,1
Ca/7,Ca,426.47,1
Ca/7,Ca,426.49,4
Ca/7,Ca,426.5,3
Ca/7,Ca,426.53,2
Ca/7,Ca,426.94,1
Ca/7,Ca,426.95,1
Ca/8,Ca,426.41,1
Ca/8,Ca,426.42,1
Ca/8,Ca,426.49,2
Ca/8,Ca,426.51,3
Ca/8,Ca,426.52,1
Ca/8,Ca,426.53,2
Ca/8,Ca,426.54,2
Ca/8,Ca,426.56,2
Ca/8,Ca,426.94,2
