System,Atom,BE,N
C2H4@Ca,Ca,426.47,5
C2H4@Ca,Ca,426.48,12
C2H4@Ca,Ca,426.49,1
C2H4@Ca,Ca,426.54,11
C2H4@Ca,Ca,426.55,7
C2H4@Ca,Ca,426.73,2
C2H4@Ca,Ca,426.92,4
C2H4@Ca,Ca,426.93,12
C2H4@Ca,C,291.46,2
C2H4@Ca,C,291.48,2
C2H4@CaH2,Ca,426.07,2
C2H4@CaH2,Ca,426.08,2
C2H4@CaH2,Ca,426.09,1
C2H4@CaH2,Ca,426.1,4
C2H4@CaH2,Ca,426.11,2
C2H4@CaH2,Ca,426.12,4
C2H4@CaH2,Ca,426.13,2
C2H4@CaH2,Ca,426.14,3
C2H4@CaH2,Ca,426.15,2
C2H4@CaH2,Ca,426.17,1
C2H4@CaH2,Ca,426.18,2
C2H4@CaH2,Ca,426.19,1
C2H4@CaH2,Ca,426.2,1
C2H4@CaH2,Ca,426.22,1
C2H4@CaH2,Ca,426.26,1
C2H4@CaH2,Ca,426.27,3
C2H4@CaH2,Ca,426.41,1
C2H4@CaH2,Ca,426.46,1
C2H4@CaH2,Ca,426.62,1
C2H4@CaH2,Ca,426.64,1
C2H4@CaH2,Ca,426.65,2
C2H4@CaH2,Ca,426.66,3
C2H4@CaH2,Ca,426.67,5
C2H4@CaH2,Ca,426.68,1
C2H4@CaH2,Ca,426.7,1
C2H4@CaH2,C,292.04,1
C2H4@CaH2,C,292.07,1
C2H4@CaH2,C,292.1,1
C2H4@CaH2,C,292.12,1
C2H4@CaO,Ca,425.67,2
C2H4@CaO,Ca,425.68,2
C2H4@CaO,Ca,425.69,2
C2H4@CaO,Ca,425.7,2
C2H4@CaO,Ca,425.72,2
C2H4@CaO,Ca,425.73,8
C2H4@CaO,Ca,425.85,2
C2H4@CaO,Ca,425.86,2
C2H4@CaO,Ca,425.87,14
C2H4@CaO,Ca,426.1,2
C2H4@CaO,Ca,426.26,2
C2H4@CaO,Ca,426.29,6
C2H4@CaO,Ca,426.3,4
C2H4@CaO,Ca,426.31,2
C2H4@CaO,Ca,426.32,2
C2H4@CaO,O,538.81,2
C2H4@CaO,O,538.82,2
C2H4@CaO,O,538.85,2
C2H4@CaO,O,538.86,1
C2H4@CaO,O,538.87,1
C2H4@CaO,O,538.96,2
C2H4@CaO,O,538.97,6
C2H4@CaO,O,538.98,2
C2H4@CaO,O,539.17,2
C2H4@CaO,O,539.2,6
C2H4@CaO,O,539.21,4
C2H4@CaO,O,539.22,8
C2H4@CaO,O,539.24,8
C2H4@CaO,O,539.25,8
C2H4@CaO,C,292.18,2
C2H4@CaO,C,292.22,2
C2H4@CaO_OH2,Ca,425.74,3
C2H4@CaO_OH2,Ca,425.75,6
C2H4@CaO_OH2,Ca,425.77,9
C2H4@CaO_OH2,Ca,425.82,1
C2H4@CaO_OH2,Ca,425.83,1
C2H4@CaO_OH2,Ca,425.84,6
C2H4@CaO_OH2,Ca,425.85,1
C2H4@CaO_OH2,Ca,425.86,2
C2H4@CaO_OH2,Ca,425.87,7
C2H4@CaO_OH2,Ca,426.81,1
C2H4@CaO_OH2,Ca,426.84,1
C2H4@CaO_OH2,Ca,426.86,2
C2H4@CaO_OH2,Ca,426.87,2
C2H4@CaO_OH2,Ca,426.88,3
C2H4@CaO_OH2,Ca,426.89,2
C2H4@CaO_OH2,Ca,426.9,2
C2H4@CaO_OH2,Ca,426.91,5
C2H4@CaO_OH2,O,539.2,5
C2H4@CaO_OH2,O,539.21,4
C2H4@CaO_OH2,O,539.23,4
C2H4@CaO_OH2,O,539.24,5
C2H4@CaO_OH2,O,539.25,2
C2H4@CaO_OH2,O,539.26,7
C2H4@CaO_OH2,O,539.28,4
C2H4@CaO_OH2,O,539.29,5
C2H4@CaO_OH2,O,540.92,1
C2H4@CaO_OH2,O,541.09,1
C2H4@CaO_OH2,O,541.13,1
C2H4@CaO_OH2,O,541.14,2
C2H4@CaO_OH2,O,541.16,1
C2H4@CaO_OH2,O,541.17,4
C2H4@CaO_OH2,O,541.18,2
C2H4@CaO_OH2,O,541.19,1
C2H4@CaO_OH2,O,541.2,3
C2H4@CaO_OH2,O,541.21,3
C2H4@CaO_OH2,O,541.22,1
C2H4@CaO_OH2,O,541.23,1
C2H4@CaO_OH2,O,541.36,2
C2H4@CaO_OH2,O,541.37,1
C2H4@CaO_OH2,O,541.38,1
C2H4@CaO_OH2,O,541.39,1
C2H4@CaO_OH2,O,541.4,3
C2H4@CaO_OH2,O,541.41,3
C2H4@CaO_OH2,O,541.42,3
