System,Atom,BE,N,Atoms
C2H4@Ca,Ca,426.47,12,Ca_053;Ca_050;Ca_049;Ca_002;Ca_003;Ca_004;Ca_009;Ca_047;Ca_007;Ca_008;Ca_054;Ca_001
C2H4@Ca,Ca,426.48,6,Ca_006;Ca_051;Ca_046;Ca_048;Ca_005;Ca_052
C2H4@Ca,Ca,426.53,1,Ca_021
C2H4@Ca,Ca,426.54,17,Ca_029;Ca_027;Ca_026;Ca_019;Ca_028;Ca_035;Ca_023;Ca_036;Ca_031;Ca_022;Ca_033;Ca_032;Ca_034;Ca_020;Ca_024;Ca_025;Ca_030
C2H4@Ca,Ca,426.71,2,Ca_018;Ca_045
C2H4@Ca,Ca,426.91,5,Ca_012;Ca_015;Ca_016;Ca_042;Ca_039
C2H4@Ca,Ca,426.92,6,Ca_043;Ca_041;Ca_017;Ca_014;Ca_010;Ca_044
C2H4@Ca,Ca,426.93,5,Ca_037;Ca_038;Ca_011;Ca_013;Ca_040
C2H4@Ca,C,291.46,2,C_058;C_056
C2H4@Ca,C,291.47,2,C_057;C_055
C2H4@CaH2,Ca,426.88,1,Ca_002
C2H4@CaH2,Ca,426.97,1,Ca_046
C2H4@CaH2,Ca,427.12,1,Ca_011
C2H4@CaH2,Ca,427.13,1,Ca_009
C2H4@CaH2,Ca,427.14,4,Ca_003;Ca_010;Ca_038;Ca_039
C2H4@CaH2,Ca,427.15,6,Ca_037;Ca_004;Ca_047;Ca_045;Ca_001;Ca_040
C2H4@CaH2,Ca,427.16,2,Ca_012;Ca_048
C2H4@CaH2,Ca,427.24,1,Ca_014
C2H4@CaH2,Ca,427.28,2,Ca_018;Ca_008
C2H4@CaH2,Ca,427.29,5,Ca_027;Ca_026;Ca_021;Ca_020;Ca_024
C2H4@CaH2,Ca,427.30,13,Ca_029;Ca_006;Ca_041;Ca_019;Ca_028;Ca_017;Ca_023;Ca_031;Ca_022;Ca_033;Ca_032;Ca_013;Ca_025
C2H4@CaH2,Ca,427.31,1,Ca_030
C2H4@CaH2,Ca,427.32,3,Ca_005;Ca_007;Ca_034
C2H4@CaH2,Ca,427.33,6,Ca_043;Ca_015;Ca_035;Ca_016;Ca_042;Ca_044
C2H4@CaH2,Ca,427.34,1,Ca_036
C2H4@CaH2,C,291.82,1,C_154
C2H4@CaH2,C,291.86,2,C_155;C_153
C2H4@CaH2,C,292.00,1,C_156
C2H4@CaO,Ca,427.00,2,Ca_009;Ca_054
C2H4@CaO,Ca,427.01,2,Ca_053;Ca_007
C2H4@CaO,Ca,427.02,2,Ca_051;Ca_003
C2H4@CaO,Ca,427.03,2,Ca_050;Ca_001
C2H4@CaO,Ca,427.04,4,Ca_046;Ca_005;Ca_008;Ca_052
C2H4@CaO,Ca,427.05,6,Ca_006;Ca_049;Ca_002;Ca_004;Ca_048;Ca_047
C2H4@CaO,Ca,427.09,2,Ca_018;Ca_045
C2H4@CaO,Ca,427.14,2,Ca_027;Ca_036
C2H4@CaO,Ca,427.15,6,Ca_019;Ca_035;Ca_021;Ca_033;Ca_032;Ca_025
C2H4@CaO,Ca,427.16,10,Ca_029;Ca_026;Ca_028;Ca_023;Ca_031;Ca_022;Ca_034;Ca_020;Ca_024;Ca_030
C2H4@CaO,Ca,427.27,2,Ca_038;Ca_013
C2H4@CaO,Ca,427.28,2,Ca_037;Ca_014
C2H4@CaO,Ca,427.29,4,Ca_041;Ca_010;Ca_011;Ca_040
C2H4@CaO,Ca,427.31,4,Ca_012;Ca_016;Ca_042;Ca_044
C2H4@CaO,Ca,427.33,2,Ca_043;Ca_017
C2H4@CaO,Ca,427.34,2,Ca_015;Ca_039
C2H4@CaO,O,540.00,6,O_097;O_068;O_094;O_091;O_065;O_071
C2H4@CaO,O,540.01,2,O_066;O_096
C2H4@CaO,O,540.02,2,O_093;O_069
C2H4@CaO,O,540.03,2,O_067;O_092
C2H4@CaO,O,540.04,4,O_072;O_099;O_064;O_095
C2H4@CaO,O,540.05,2,O_098;O_070
C2H4@CaO,O,540.68,2,O_063;O_108
C2H4@CaO,O,540.71,14,O_057;O_105;O_103;O_061;O_101;O_056;O_055;O_104;O_100;O_059;O_107;O_062;O_058;O_106
C2H4@CaO,O,540.72,2,O_060;O_102
C2H4@CaO,O,540.81,8,O_081;O_082;O_084;O_078;O_088;O_080;O_077;O_090
C2H4@CaO,O,540.82,10,O_076;O_074;O_087;O_086;O_083;O_073;O_089;O_079;O_075;O_085
C2H4@CaO,C,291.97,2,C_109;C_111
C2H4@CaO,C,292.04,2,C_110;C_112
C2H4@CaO_OH2,Ca,427.01,4,Ca_029;Ca_027;Ca_026;Ca_030
