System,Atom,BE,N,Atoms
C2H4@Ca,Ca,426.43,18,Ca_053;Ca_006;Ca_050;Ca_049;Ca_051;Ca_002;Ca_046;Ca_003;Ca_004;Ca_009;Ca_048;Ca_047;Ca_005;Ca_007;Ca_008;Ca_052;Ca_054;Ca_001
C2H4@Ca,Ca,426.51,2,Ca_028;Ca_020
C2H4@Ca,Ca,426.52,16,Ca_029;Ca_027;Ca_026;Ca_019;Ca_035;Ca_023;Ca_021;Ca_036;Ca_031;Ca_022;Ca_033;Ca_032;Ca_034;Ca_024;Ca_025;Ca_030
C2H4@Ca,Ca,426.93,18,Ca_043;Ca_037;Ca_012;Ca_041;Ca_015;Ca_017;Ca_014;Ca_016;Ca_010;Ca_038;Ca_018;Ca_042;Ca_011;Ca_013;Ca_045;Ca_039;Ca_044;Ca_040
C2H4@Ca,C,292.23,4,C_061;C_055;C_056;C_062
C2H4@CaH2,Ca,426.19,7,Ca_027;Ca_018;Ca_022;Ca_032;Ca_024;Ca_025;Ca_030
C2H4@CaH2,Ca,426.20,9,Ca_029;Ca_026;Ca_019;Ca_028;Ca_017;Ca_023;Ca_021;Ca_031;Ca_020
C2H4@CaH2,Ca,426.26,16,Ca_043;Ca_006;Ca_041;Ca_015;Ca_014;Ca_035;Ca_016;Ca_036;Ca_033;Ca_005;Ca_007;Ca_008;Ca_042;Ca_034;Ca_013;Ca_044
C2H4@CaH2,Ca,426.67,16,Ca_037;Ca_012;Ca_002;Ca_046;Ca_003;Ca_004;Ca_010;Ca_038;Ca_009;Ca_048;Ca_047;Ca_011;Ca_045;Ca_039;Ca_001;Ca_040
C2H4@CaH2,C,292.31,4,C_152;C_151;C_146;C_145
C2H4@CaO,Ca,425.78,4,Ca_006;Ca_050;Ca_049;Ca_005
C2H4@CaO,Ca,425.79,14,Ca_053;Ca_051;Ca_002;Ca_046;Ca_003;Ca_004;Ca_009;Ca_048;Ca_047;Ca_007;Ca_008;Ca_052;Ca_054;Ca_001
C2H4@CaO,Ca,425.92,18,Ca_029;Ca_027;Ca_026;Ca_019;Ca_028;Ca_035;Ca_023;Ca_021;Ca_036;Ca_031;Ca_022;Ca_033;Ca_032;Ca_034;Ca_020;Ca_024;Ca_025;Ca_030
C2H4@CaO,Ca,426.36,18,Ca_043;Ca_037;Ca_012;Ca_041;Ca_015;Ca_017;Ca_014;Ca_016;Ca_010;Ca_038;Ca_018;Ca_042;Ca_011;Ca_013;Ca_045;Ca_039;Ca_044;Ca_040
C2H4@CaO,O,539.01,6,O_072;O_068;O_094;O_091;O_095;O_069
C2H4@CaO,O,539.02,12,O_098;O_097;O_093;O_067;O_092;O_099;O_066;O_070;O_065;O_071;O_096;O_064
C2H4@CaO,O,539.31,18,O_076;O_074;O_087;O_086;O_083;O_081;O_082;O_084;O_078;O_073;O_089;O_088;O_079;O_080;O_075;O_085;O_077;O_090
C2H4@CaO,O,539.34,18,O_057;O_063;O_105;O_103;O_060;O_102;O_061;O_108;O_101;O_056;O_055;O_104;O_100;O_059;O_107;O_062;O_058;O_106
C2H4@CaO,C,292.30,2,C_110;C_116
C2H4@CaO,C,292.31,2,C_109;C_115
C2H4@CaO_OH2,Ca,425.75,9,Ca_029;Ca_028;Ca_035;Ca_036;Ca_031;Ca_033;Ca_032;Ca_034;Ca_030
C2H4@CaO_OH2,Ca,425.76,9,Ca_027;Ca_026;Ca_019;Ca_023;Ca_021;Ca_022;Ca_020;Ca_024;Ca_025
C2H4@CaO_OH2,Ca,425.85,18,Ca_053;Ca_006;Ca_050;Ca_049;Ca_051;Ca_002;Ca_046;Ca_003;Ca_004;Ca_009;Ca_048;Ca_047;Ca_005;Ca_007;Ca_008;Ca_052;Ca_054;Ca_001
C2H4@CaO_OH2,Ca,426.88,9,Ca_012;Ca_015;Ca_017;Ca_014;Ca_016;Ca_010;Ca_018;Ca_011;Ca_013
C2H4@CaO_OH2,Ca,426.89,9,Ca_043;Ca_037;Ca_041;Ca_038;Ca_042;Ca_045;Ca_039;Ca_044;Ca_040
C2H4@CaO_OH2,O,539.22,18,O_057;O_063;O_105;O_103;O_060;O_102;O_061;O_108;O_101;O_056;O_055;O_104;O_100;O_059;O_107;O_062;O_058;O_106
C2H4@CaO_OH2,O,539.27,18,O_076;O_074;O_087;O_086;O_083;O_081;O_082;O_084;O_078;O_073;O_089;O_088;O_079;O_080;O_075;O_085;O_077;O_090
C2H4@CaO_OH2,O,541.18,3,O_098;O_094;O_095
C2H4@CaO_OH2,O,541.19,15,O_097;O_072;O_068;O_093;O_067;O_092;O_099;O_091;O_066;O_070;O_065;O_071;O_096;O_064;O_069
C2H4@CaO_OH2,O,541.40,1,O_123
C2H4@CaO_OH2,O,541.41,8,O_122;O_121;O_124;O_120;O_126;O_119;O_118;O_125
C2H4@CaO_OH2,O,541.42,4,O_115;O_112;O_113;O_116
C2H4@CaO_OH2,O,541.43,5,O_111;O_110;O_114;O_117;O_109
C2H4@CaO_OH2,C,292.32,4,C_170;C_164;C_163;C_169
C2H4O@Ca,Ca,426.44,18,Ca_053;Ca_006;Ca_050;Ca_049;Ca_051;Ca_002;Ca_046;Ca_003;Ca_004;Ca_009;Ca_048;Ca_047;Ca_005;Ca_007;Ca_008;Ca_052;Ca_054;Ca_001
C2H4O@Ca,Ca,426.51,18,Ca_029;Ca_027;Ca_026;Ca_019;Ca_028;Ca_035;Ca_023;Ca_021;Ca_036;Ca_031;Ca_022;Ca_033;Ca_032;Ca_034;Ca_020;Ca_024;Ca_025;Ca_030
C2H4O@Ca,Ca,426.93,18,Ca_043;Ca_037;Ca_012;Ca_041;Ca_015;Ca_017;Ca_014;Ca_016;Ca_010;Ca_038;Ca_018;Ca_042;Ca_011;Ca_013;Ca_045;Ca_039;Ca_044;Ca_040
C2H4O@Ca,O,541.14,2,O_060;O_067
C2H4O@Ca,C,293.13,2,C_056;C_063
C2H4O@Ca,C,293.43,2,C_055;C_062
C2H4O@CaH2,Ca,425.95,1,Ca_030
C2H4O@CaH2,Ca,425.96,14,Ca_029;Ca_027;Ca_026;Ca_019;Ca_028;Ca_017;Ca_023;Ca_021;Ca_018;Ca_022;Ca_032;Ca_020;Ca_024;Ca_025
C2H4O@CaH2,Ca,425.97,1,Ca_031
C2H4O@CaH2,Ca,426.03,1,Ca_014
C2H4O@CaH2,Ca,426.04,7,Ca_043;Ca_006;Ca_041;Ca_016;Ca_033;Ca_008;Ca_034
C2H4O@CaH2,Ca,426.05,8,Ca_015;Ca_035;Ca_036;Ca_005;Ca_007;Ca_042;Ca_013;Ca_044
C2H4O@CaH2,Ca,426.67,16,Ca_037;Ca_012;Ca_002;Ca_046;Ca_003;Ca_004;Ca_010;Ca_038;Ca_009;Ca_048;Ca_047;Ca_011;Ca_045;Ca_039;Ca_001;Ca_040
C2H4O@CaH2,C,293.17,2,C_152;C_145
C2H4O@CaH2,C,293.35,2,C_146;C_153
C2H4O@CaH2,O,541.21,2,O_150;O_157
C2H4O@CaO,Ca,425.35,16,Ca_053;Ca_006;Ca_050;Ca_049;Ca_051;Ca_002;Ca_046;Ca_003;Ca_004;Ca_009;Ca_048;Ca_047;Ca_005;Ca_007;Ca_008;Ca_052
C2H4O@CaO,Ca,425.36,2,Ca_054;Ca_001
C2H4O@CaO,Ca,425.46,18,Ca_029;Ca_027;Ca_026;Ca_019;Ca_028;Ca_035;Ca_023;Ca_021;Ca_036;Ca_031;Ca_022;Ca_033;Ca_032;Ca_034;Ca_020;Ca_024;Ca_025;Ca_030
C2H4O@CaO,Ca,425.98,1,Ca_041
C2H4O@CaO,Ca,425.99,9,Ca_015;Ca_017;Ca_014;Ca_038;Ca_042;Ca_011;Ca_013;Ca_044;Ca_040
C2H4O@CaO,Ca,426.00,8,Ca_043;Ca_037;Ca_012;Ca_016;Ca_010;Ca_018;Ca_045;Ca_039
C2H4O@CaO,O,538.62,8,O_072;O_068;O_092;O_094;O_091;O_071;O_095;O_069
C2H4O@CaO,O,538.64,8,O_098;O_097;O_093;O_067;O_066;O_070;O_065;O_096
C2H4O@CaO,O,538.65,2,O_099;O_064
C2H4O@CaO,O,538.81,18,O_076;O_074;O_087;O_086;O_083;O_081;O_082;O_084;O_078;O_073;O_089;O_088;O_079;O_080;O_075;O_085;O_077;O_090
C2H4O@CaO,O,538.90,2,O_104;O_059
C2H4O@CaO,O,538.91,16,O_057;O_063;O_105;O_103;O_060;O_102;O_061;O_108;O_101;O_056;O_055;O_100;O_107;O_062;O_058;O_106
C2H4O@CaO,O,541.19,2,O_121;O_114
C2H4O@CaO,C,293.26,2,C_109;C_116
C2H4O@CaO,C,293.31,2,C_110;C_117
C2H4O@CaO_OH2,Ca,425.75,9,Ca_029;Ca_028;Ca_035;Ca_036;Ca_031;Ca_033;Ca_032;Ca_034;Ca_030
C2H4O@CaO_OH2,Ca,425.76,9,Ca_027;Ca_026;Ca_019;Ca_023;Ca_021;Ca_022;Ca_020;Ca_024;Ca_025
C2H4O@CaO_OH2,Ca,425.85,18,Ca_053;Ca_006;Ca_050;Ca_049;Ca_051;Ca_002;Ca_046;Ca_003;Ca_004;Ca_009;Ca_048;Ca_047;Ca_005;Ca_007;Ca_008;Ca_052;Ca_054;Ca_001
C2H4O@CaO_OH2,Ca,426.88,9,Ca_012;Ca_015;Ca_017;Ca_014;Ca_016;Ca_010;Ca_018;Ca_011;Ca_013
C2H4O@CaO_OH2,Ca,426.89,9,Ca_043;Ca_037;Ca_041;Ca_038;Ca_042;Ca_045;Ca_039;Ca_044;Ca_040
C2H4O@CaO_OH2,O,539.16,18,O_057;O_063;O_105;O_103;O_060;O_102;O_061;O_108;O_101;O_056;O_055;O_104;O_100;O_059;O_107;O_062;O_058;O_106
C2H4O@CaO_OH2,O,539.24,9,O_087;O_086;O_083;O_082;O_084;O_089;O_088;O_085;O_090
C2H4O@CaO_OH2,O,539.25,9,O_076;O_074;O_081;O_078;O_073;O_079;O_080;O_075;O_077
C2H4O@CaO_OH2,O,541.13,18,O_098;O_097;O_072;O_068;O_093;O_067;O_092;O_094;O_099;O_091;O_066;O_070;O_065;O_071;O_096;O_064;O_095;O_069
C2H4O@CaO_OH2,O,541.22,2,O_175;O_168
C2H4O@CaO_OH2,O,541.30,1,O_123
C2H4O@CaO_OH2,O,541.32,5,O_122;O_121;O_120;O_126;O_113
C2H4O@CaO_OH2,O,541.33,5,O_124;O_119;O_118;O_125;O_116
C2H4O@CaO_OH2,O,541.34,5,O_115;O_112;O_110;O_114;O_117
C2H4O@CaO_OH2,O,541.35,2,O_111;O_109
C2H4O@CaO_OH2,C,293.16,2,C_170;C_163
C2H4O@CaO_OH2,C,293.40,2,C_171;C_164
C2H6@Ca,Ca,426.43,3,Ca_051;Ca_046;Ca_004
