compound,a1,d1,a2,d2,energy
C2H6@Ca,H61-Ca18,3.150,H61-Ca18,3.150,-101.5
C3H8@Ca,H61-Ca18,3.047,H61-Ca18,3.047,-111.2
C2H4@Ca,C56-Ca18,2.950,C56-Ca18,2.950,-137.6
C3H6@Ca,C59-Ca18,3.036,C59-Ca18,3.036,-140.7
CO2@Ca,O59-Ca45,2.216,O59-Ca45,2.216,-430.6
CH2O@Ca,O55-Ca18,2.184,O55-Ca18,2.184,-239.4
C2H4O@Ca,O60-Ca18,2.289,O60-Ca18,2.289,-321.3
THF@Ca,O72-Ca41,2.370,O72-Ca41,2.370,-215.3
CH4O@Ca,O63-Ca45,2.348,O63-Ca45,2.348,-223.2
THFn@Ca,O101-Ca41,2.513,O101-Ca41,2.513,-475.4
C2H6@CaO,H119-O99,2.666,H115-Ca18,2.833,-60.2
C3H8@CaO,H122-O95,2.518,C124-Ca45,3.465,-78.9
C2H4@CaO,H118-O98,2.678,C109-Ca18,3.104,-69.7
C3H6@CaO,H124-O95,2.437,C111-Ca18,3.110,-89.8
CO2@CaO,O111-Ca15,2.777,O111-Ca15,2.777,-62.6
CH2O@CaO,O113-Ca45,2.642,O113-Ca45,2.642,-70.9
C2H4O@CaO,H119-O96,2.434,O121-Ca45,2.574,-109.4
THF@CaO,O180-H131,1.847,O180-H131,1.847,-121.6
CH4O@CaO,O117-H115,1.444,O117-Ca45,2.512,-207.4
THFn@CaO,O180-H144,1.644,O180-H144,1.644,-532.5
C2H6@CaO_OH2,H173-H131,2.086,C163-Ca15,4.786,-40.8
C3H8@CaO_OH2,H169-H140,1.965,H176-Ca38,3.838,-56.2
C2H4@CaO_OH2,C170-H131,2.432,C169-Ca41,4.755,-38.4
C3H6@CaO_OH2,C176-H131,2.284,C174-Ca42,4.773,-52.5
CO2@CaO_OH2,O167-H131,2.315,C166-Ca38,4.884,-30.9
CH2O@CaO_OH2,O163-H140,2.100,O167-Ca41,4.999,-34.4
C2H4O@CaO_OH2,O175-H131,2.069,O168-Ca15,4.870,-44.8
THF@CaO_OH2,O113-Ca14,2.443,O113-Ca14,2.443,-55.6
CH4O@CaO_OH2,H163-O126,1.641,H169-Ca39,3.285,-121.5
THFn@CaO_OH2,O141-H142,1.492,O155-Ca41,2.289,-223.8
C2H6@CaH2,H149-H138,2.477,C146-Ca46,3.077,-67.0
C3H8@CaH2,H151-H117,2.255,C152-Ca46,3.127,-76.0
C2H4@CaH2,H147-H138,2.498,C152-Ca2,2.885,-91.4
C3H6@CaH2,H151-H140,2.325,C158-Ca2,2.978,-96.9
CO2@CaH2,O150-Ca9,2.311,O150-Ca9,2.311,-198.1
CH2O@CaH2,O145-Ca46,2.186,O145-Ca46,2.186,-302.1
C2H4O@CaH2,H149-H127,2.363,O157-Ca2,2.433,-145.9
THF@CaH2,O162-Ca11,2.376,O162-Ca11,2.376,-152.6
CH4O@CaH2,H145-H127,1.492,O153-Ca2,2.413,-176.9
THFn@CaH2,H163-H132,1.298,O162-Ca40,2.351,-437.6
