Compound,N,Energy
CaH2/100,12,-124.57316
CaH2/100,16,-167.56058
CaH2/100,20,-210.53049
CaH2/100,24,-253.50323
CaH2/100,28,-296.47393
CaH2/100,32,-339.44571
CaH2/110,12,-123.49145
CaH2/110,16,-166.54916
CaH2/110,20,-209.53666
CaH2/110,24,-252.52065
CaH2/110,28,-295.49038
CaH2/110,32,-338.46463
CaH2/111,12,-123.1977
CaH2/111,16,-166.22061
CaH2/111,20,-209.19735
CaH2/111,24,-252.16975
CaH2/111,28,-295.14114
CaH2/111,32,-338.11073
CaO/100,6,-77.727267
CaO/100,8,-104.0937
CaO/100,10,-130.45903
CaO/100,12,-156.82494
CaO/100,14,-183.19057
CaO/100,16,-209.55527
CaO/110,6,-75.431
CaO/110,8,-101.80963
CaO/110,10,-128.16474
CaO/110,12,-154.53431
CaO/110,14,-180.8975
CaO/110,16,-207.26373
CaO/111,5,-60.642139
CaO/111,7,-86.750572
CaO/111,9,-112.99966
CaO/111,11,-139.30042
CaO/111,13,-165.62474
CaO/111,15,-191.96036
Ca/100,6,-11.32081
Ca/100,8,-15.42523
Ca/100,10,-19.561598
Ca/100,12,-23.67724
Ca/100,14,-27.804264
Ca/100,16,-31.924086
Ca/110,6,-10.686997
Ca/110,8,-14.844766
Ca/110,10,-18.939487
Ca/110,12,-23.06559
Ca/110,14,-27.211612
Ca/110,16,-31.335724
Ca/111,6,-11.448672
Ca/111,8,-15.579352
Ca/111,10,-19.710823
Ca/111,12,-23.836651
Ca/111,14,-27.957829
Ca/111,16,-32.079688


