System,Ref
C2H4@Ca,Ca_019
C2H4@CaH2,Ca_017
C2H4@CaO,Ca_019
C2H4@CaO_OH2,Ca_035
C2H4O@Ca,Ca_019
C2H4O@CaH2,Ca_017
C2H4O@CaO,Ca_019
C2H4O@CaO_OH2,Ca_035
C2H6@Ca,Ca_019
C2H6@CaH2,Ca_017
C2H6@CaO,Ca_019
C2H6@CaO_OH2,Ca_035
C3H6@Ca,Ca_019
C3H6@CaH2,Ca_017
C3H6@CaO,Ca_019
C3H6@CaO_OH2,Ca_035
C3H8@Ca,Ca_019
C3H8@CaH2,Ca_017
C3H8@CaO,Ca_019
C3H8@CaO_OH2,Ca_035
CH2O@Ca,Ca_019
CH2O@CaH2,Ca_017
CH2O@CaO,Ca_019
CH2O@CaO_OH2,Ca_035
CH4O@Ca,Ca_019
CH4O@CaH2,Ca_017
CH4O@CaO,Ca_019
CH4O@CaO_OH2,Ca_035
CO2@Ca,Ca_019
CO2@CaH2,Ca_017
CO2@CaO,Ca_019
CO2@CaO_OH2,Ca_035
THF@CaH2,Ca_017
THF@CaO_OH2,Ca_035
THF@CaO,Ca_019
THF@Ca,Ca_019
THFn@CaH2,Ca_017
THFn@CaO_OH2,Ca_035
THFn@CaO,Ca_005
THFn@Ca,Ca_019
