System,Atom,Value,N_Atoms,Atom_indices
molecule_001,B,-99.28,2,B_001;B_002
molecule_002,B,-99.90,1,B_001
molecule_002,C,-2.50,3,C_002;C_004;C_006
molecule_002,C,-1.70,3,C_003;C_005;C_007
molecule_003,B,-101.34,1,B_001
molecule_003,C,-1.65,2,C_006;C_008
molecule_003,C,-0.96,1,C_004
molecule_003,C,-0.55,2,C_005;C_007
molecule_003,C,-0.09,1,C_003
molecule_003,N,116.43,1,N_002
molecule_004,B,-98.56,1,B_002
molecule_004,B,-98.55,2,B_001;B_003
molecule_004,C,-2.65,2,C_004;C_005
molecule_005,B,-98.93,2,B_001;B_010
molecule_005,C,-2.36,2,C_006;C_011
molecule_005,C,-2.33,2,C_003;C_014
molecule_005,C,-1.68,3,C_005;C_008;C_016
molecule_005,C,-1.67,1,C_013
molecule_005,C,-1.56,1,C_007
molecule_005,C,-1.55,1,C_012
molecule_005,C,-1.52,2,C_004;C_015
molecule_006,B,-99.21,1,B_007
molecule_006,B,-99.18,1,B_004
molecule_006,B,-99.14,1,B_001
molecule_006,C,-3.21,1,C_010
molecule_006,C,-3.17,1,C_013
molecule_006,C,-2.01,1,C_002
molecule_006,C,-1.98,2,C_005;C_008
molecule_006,C,-1.71,1,C_009
molecule_006,C,-1.70,1,C_003
molecule_006,C,-1.69,1,C_006
molecule_006,C,-1.59,2,C_012;C_015
molecule_006,C,-1.24,2,C_011;C_014
molecule_007,B,-98.77,2,B_004;B_009
molecule_007,B,-98.01,1,B_007
molecule_007,B,-97.97,1,B_002
molecule_007,C,-2.26,2,C_001;C_003
molecule_008,B,-99.29,1,B_011
molecule_008,B,-99.28,1,B_009
molecule_008,B,-98.71,1,B_004
molecule_008,B,-97.08,2,B_002;B_006
molecule_008,C,-1.93,2,C_001;C_008
molecule_009,B,-98.76,2,B_004;B_013
molecule_009,B,-98.06,2,B_006;B_017
molecule_009,B,-97.70,1,B_005
molecule_009,B,-97.69,3,B_012;B_015;B_016
molecule_009,B,-97.10,2,B_003;B_014
molecule_009,C,0.63,2,C_001;C_002
molecule_010,B,-98.67,2,B_006;B_013
molecule_010,B,-98.20,1,B_004
molecule_010,B,-98.19,1,B_012
molecule_010,B,-97.93,1,B_005
molecule_010,B,-97.92,2,B_015;B_017
molecule_010,B,-97.87,1,B_003
molecule_010,B,-97.50,2,B_002;B_014
molecule_010,C,-0.34,2,C_001;C_016
molecule_011,C,-1.65,1,C_001
molecule_012,C,-1.60,2,C_001;C_003
molecule_012,C,-1.36,1,C_002
molecule_013,C,-1.69,4,C_002;C_003;C_004;C_005
molecule_013,C,-0.87,1,C_001
molecule_014,C,-3.50,1,C_001
molecule_014,C,-3.12,1,C_002
molecule_014,C,-1.46,1,C_003
molecule_015,C,-3.55,1,C_001
molecule_015,C,-2.89,1,C_002
molecule_015,C,-1.49,2,C_003;C_004
molecule_016,C,-3.17,1,C_002
molecule_016,C,-2.91,1,C_003
molecule_016,C,-0.62,1,C_001
molecule_017,C,-3.01,3,C_001;C_004;C_006
molecule_017,C,-2.96,1,C_005
molecule_017,C,-2.95,1,C_007
molecule_017,C,-2.74,1,C_002
molecule_017,C,-1.47,1,C_003
molecule_018,N,114.39,1,N_001
molecule_019,C,-0.74,1,C_001
molecule_019,N,114.38,1,N_002
molecule_020,C,-3.09,1,C_006
molecule_020,C,-3.07,2,C_001;C_004
molecule_020,C,-3.04,2,C_005;C_007
molecule_020,C,-1.87,1,C_002
molecule_020,N,114.80,1,N_003
molecule_021,C,-3.18,1,C_007
molecule_021,C,-3.15,2,C_001;C_005
molecule_021,C,-3.11,1,C_008
molecule_021,C,-3.09,1,C_006
molecule_021,C,-1.93,1,C_002
molecule_021,C,-0.39,1,C_004
molecule_021,N,114.91,1,N_003
molecule_022,C,-3.31,1,C_008
molecule_022,C,-3.25,1,C_001
molecule_022,C,-3.24,1,C_006
molecule_022,C,-3.18,2,C_007;C_009
molecule_022,C,-1.98,1,C_002
molecule_022,C,-0.44,2,C_004;C_005
molecule_022,N,115.28,1,N_003
molecule_023,C,-2.02,1,C_007
molecule_023,C,-1.94,2,C_001;C_005
molecule_023,C,-1.85,2,C_006;C_008
molecule_023,C,-1.17,1,C_002
molecule_023,C,-1.02,1,C_003
molecule_023,N,113.49,1,N_004
molecule_024,C,-2.53,2,C_004;C_006
molecule_024,C,-2.36,1,C_005
molecule_024,C,-2.00,2,C_001;C_003
molecule_024,N,113.14,1,N_002
molecule_025,C,-2.16,2,C_004;C_005
molecule_025,C,-1.75,2,C_001;C_003
molecule_025,N,115.61,1,N_002
molecule_026,C,-1.63,1,C_001
molecule_026,N,113.51,1,N_002
molecule_027,C,-1.96,1,C_002
molecule_027,C,0.10,1,C_001
molecule_027,N,112.49,1,N_003
molecule_028,C,-0.82,1,C_003
molecule_028,C,-0.81,1,C_002
molecule_028,N,114.58,1,N_001
molecule_029,C,-1.53,1,C_001
molecule_029,C,-0.63,1,C_002
molecule_029,N,114.31,1,N_003
molecule_030,C,-0.83,3,C_002;C_003;C_004
molecule_030,N,115.07,1,N_001
molecule_031,C,-1.56,2,C_003;C_005
molecule_031,C,-0.71,2,C_002;C_004
molecule_031,N,114.43,1,N_001
molecule_032,C,-3.21,1,C_001
molecule_032,C,-3.16,2,C_006;C_007
molecule_032,C,-3.12,1,C_010
molecule_032,C,-2.13,1,C_002
molecule_032,C,-1.89,1,C_008
molecule_032,C,-0.78,1,C_004
molecule_032,C,-0.76,1,C_005
molecule_032,N,114.63,1,N_009
molecule_032,N,114.88,1,N_003
molecule_033,C,-2.35,2,C_006;C_009
molecule_033,C,-2.30,2,C_001;C_005
molecule_033,C,-1.67,1,C_002
molecule_033,C,-1.45,1,C_003
molecule_033,C,-0.98,1,C_007
molecule_033,N,113.01,1,N_004
molecule_033,N,115.38,1,N_008
molecule_034,C,-1.62,1,C_003
molecule_034,C,-1.58,1,C_002
molecule_034,C,-0.41,1,C_001
molecule_034,N,114.25,1,N_004
molecule_035,C,-1.67,1,C_003
molecule_035,C,-1.64,2,C_002;C_004
molecule_035,C,-0.19,1,C_001
molecule_035,N,114.20,1,N_005
molecule_036,O,249.10,1,O_001
molecule_037,C,-1.62,1,C_003
