System,Atom,Value,N_Atoms,Atom_indices
molecule_001,B,194.01,2,B_001;B_002
molecule_002,B,194.96,1,B_001
molecule_002,C,293.31,3,C_002;C_004;C_006
molecule_002,C,293.89,2,C_003;C_007
molecule_002,C,293.90,1,C_005
molecule_003,B,193.67,1,B_001
molecule_003,C,293.67,2,C_006;C_008
molecule_003,C,294.29,1,C_004
molecule_003,C,294.89,2,C_005;C_007
molecule_003,C,295.39,1,C_003
molecule_003,N,411.97,1,N_002
molecule_004,B,196.38,3,B_001;B_002;B_003
molecule_004,C,292.48,2,C_004;C_005
molecule_005,B,196.43,2,B_001;B_010
molecule_005,C,293.36,2,C_006;C_011
molecule_005,C,293.42,1,C_003
molecule_005,C,293.43,1,C_014
molecule_005,C,293.88,2,C_008;C_013
molecule_005,C,293.90,2,C_005;C_016
molecule_005,C,294.08,1,C_012
molecule_005,C,294.09,1,C_007
molecule_005,C,294.14,2,C_004;C_015
molecule_006,B,196.39,2,B_001;B_004
molecule_006,B,196.43,1,B_007
molecule_006,C,292.53,1,C_010
molecule_006,C,292.55,1,C_013
molecule_006,C,293.60,1,C_002
molecule_006,C,293.61,1,C_008
molecule_006,C,293.66,1,C_005
molecule_006,C,293.81,1,C_003
molecule_006,C,293.83,1,C_009
molecule_006,C,293.87,1,C_006
molecule_006,C,293.96,1,C_012
molecule_006,C,293.97,1,C_015
molecule_006,C,294.36,1,C_011
molecule_006,C,294.37,1,C_014
molecule_007,B,196.65,2,B_004;B_009
molecule_007,B,197.39,1,B_007
molecule_007,B,197.67,1,B_002
molecule_007,C,292.79,2,C_001;C_003
molecule_008,B,196.80,2,B_009;B_011
molecule_008,B,196.99,1,B_004
molecule_008,B,198.85,2,B_002;B_006
molecule_008,C,293.99,2,C_001;C_008
molecule_009,B,196.97,2,B_004;B_013
molecule_009,B,197.39,2,B_006;B_017
molecule_009,B,197.73,4,B_005;B_012;B_015;B_016
molecule_009,B,198.23,2,B_003;B_014
molecule_009,C,295.81,2,C_001;C_002
molecule_010,B,197.23,2,B_006;B_013
molecule_010,B,197.59,2,B_004;B_012
molecule_010,B,197.85,1,B_003
molecule_010,B,197.87,2,B_005;B_015
molecule_010,B,197.90,1,B_017
molecule_010,B,198.27,2,B_002;B_014
molecule_010,C,295.37,2,C_001;C_016
molecule_011,C,293.75,1,C_001
molecule_012,C,293.95,2,C_001;C_003
molecule_012,C,294.23,1,C_002
molecule_013,C,293.87,4,C_002;C_003;C_004;C_005
molecule_013,C,294.80,1,C_001
molecule_014,C,292.27,1,C_001
molecule_014,C,292.45,1,C_002
molecule_014,C,294.17,1,C_003
molecule_015,C,292.27,1,C_001
molecule_015,C,292.67,1,C_002
molecule_015,C,294.08,2,C_003;C_004
molecule_016,C,293.00,1,C_003
molecule_016,C,293.03,1,C_002
molecule_016,C,294.79,1,C_001
molecule_017,C,292.39,1,C_004
molecule_017,C,292.41,1,C_001
molecule_017,C,292.42,1,C_007
molecule_017,C,292.43,1,C_005
molecule_017,C,292.44,1,C_006
molecule_017,C,292.61,1,C_002
molecule_017,C,294.17,1,C_003
molecule_018,N,409.46,1,N_001
molecule_019,C,294.66,1,C_001
molecule_019,N,409.72,1,N_002
molecule_020,C,292.47,2,C_005;C_007
molecule_020,C,292.54,2,C_001;C_004
molecule_020,C,292.71,1,C_006
molecule_020,C,293.69,1,C_002
molecule_020,N,410.17,1,N_003
molecule_021,C,292.44,1,C_008
molecule_021,C,292.48,1,C_005
molecule_021,C,292.52,1,C_006
molecule_021,C,292.61,1,C_001
molecule_021,C,292.75,1,C_007
molecule_021,C,293.82,1,C_002
molecule_021,C,295.04,1,C_004
molecule_021,N,410.49,1,N_003
molecule_022,C,292.48,2,C_007;C_009
molecule_022,C,292.53,2,C_001;C_006
molecule_022,C,292.72,1,C_008
molecule_022,C,293.95,1,C_002
molecule_022,C,295.03,2,C_004;C_005
molecule_022,N,410.99,1,N_003
molecule_023,C,292.09,1,C_007
molecule_023,C,292.25,2,C_001;C_005
