System,Atom,Value,N_Atoms,Atom_indices
molecule_001,B,201.47,2,B_001;B_002
molecule_002,B,200.16,1,B_001
molecule_002,C,295.94,2,C_002;C_004
molecule_002,C,295.95,1,C_006
molecule_002,C,296.47,3,C_003;C_005;C_007
molecule_003,B,198.25,1,B_001
molecule_003,C,296.57,2,C_006;C_008
molecule_003,C,297.24,1,C_004
molecule_003,C,297.66,2,C_005;C_007
molecule_003,C,297.88,1,C_003
molecule_003,N,414.57,1,N_002
molecule_004,B,201.17,3,B_001;B_002;B_003
molecule_004,C,296.55,2,C_004;C_005
molecule_005,B,200.12,2,B_001;B_010
molecule_005,C,295.56,2,C_006;C_011
molecule_005,C,295.58,2,C_003;C_014
molecule_005,C,296.35,2,C_005;C_016
molecule_005,C,296.37,4,C_004;C_007;C_012;C_015
molecule_005,C,296.38,2,C_008;C_013
molecule_006,B,199.66,2,B_001;B_004
molecule_006,B,199.68,1,B_007
molecule_006,C,295.14,2,C_010;C_013
molecule_006,C,295.85,2,C_002;C_005
molecule_006,C,295.86,1,C_008
molecule_006,C,296.29,1,C_006
molecule_006,C,296.31,3,C_003;C_009;C_012
molecule_006,C,296.32,1,C_015
molecule_006,C,296.52,1,C_011
molecule_006,C,296.54,1,C_014
molecule_007,B,200.40,2,B_004;B_009
molecule_007,B,200.75,1,B_002
molecule_007,B,201.10,1,B_007
molecule_007,C,297.14,2,C_001;C_003
molecule_008,B,200.09,2,B_009;B_011
molecule_008,B,200.83,1,B_004
molecule_008,B,201.38,2,B_002;B_006
molecule_008,C,297.41,2,C_001;C_008
molecule_009,B,199.84,2,B_004;B_013
molecule_009,B,199.97,2,B_006;B_017
molecule_009,B,200.67,4,B_005;B_012;B_015;B_016
molecule_009,B,201.31,2,B_003;B_014
molecule_009,C,299.09,2,C_001;C_002
molecule_010,B,199.95,2,B_006;B_013
molecule_010,B,200.51,2,B_004;B_012
molecule_010,B,200.63,4,B_003;B_005;B_015;B_017
molecule_010,B,201.29,2,B_002;B_014
molecule_010,C,298.38,2,C_001;C_016
molecule_011,C,297.04,1,C_001
molecule_012,C,296.73,2,C_001;C_003
molecule_012,C,296.89,1,C_002
molecule_013,C,296.46,4,C_002;C_003;C_004;C_005
molecule_013,C,296.92,1,C_001
molecule_014,C,296.42,1,C_001
molecule_014,C,296.95,1,C_002
molecule_014,C,297.06,1,C_003
molecule_015,C,295.99,1,C_001
molecule_015,C,296.88,2,C_003;C_004
molecule_015,C,296.92,1,C_002
molecule_016,C,296.49,1,C_003
molecule_016,C,297.11,1,C_002
molecule_016,C,297.94,1,C_001
molecule_017,C,296.19,1,C_004
molecule_017,C,296.20,1,C_001
molecule_017,C,296.23,1,C_006
molecule_017,C,296.31,2,C_005;C_007
molecule_017,C,296.53,1,C_002
molecule_017,C,296.81,1,C_003
molecule_018,N,413.58,1,N_001
molecule_019,C,297.79,1,C_001
molecule_019,N,413.22,1,N_002
molecule_020,C,295.86,1,C_006
molecule_020,C,296.02,2,C_001;C_004
molecule_020,C,296.21,2,C_005;C_007
molecule_020,C,297.46,1,C_002
molecule_020,N,413.30,1,N_003
molecule_021,C,295.68,1,C_007
molecule_021,C,295.83,1,C_001
molecule_021,C,295.87,1,C_005
molecule_021,C,296.06,1,C_008
molecule_021,C,296.08,1,C_006
molecule_021,C,297.29,1,C_002
molecule_021,C,297.85,1,C_004
molecule_021,N,413.14,1,N_003
molecule_022,C,295.54,1,C_008
molecule_022,C,295.70,2,C_001;C_006
molecule_022,C,295.95,2,C_007;C_009
molecule_022,C,297.15,1,C_002
molecule_022,C,297.72,2,C_004;C_005
molecule_022,N,413.08,1,N_003
molecule_023,C,297.05,1,C_007
molecule_023,C,297.10,2,C_006;C_008
molecule_023,C,297.14,2,C_001;C_005
molecule_023,C,297.93,1,C_002
molecule_023,C,298.15,1,C_003
molecule_023,N,412.60,1,N_004
molecule_024,C,296.88,2,C_004;C_006
molecule_024,C,297.16,1,C_005
molecule_024,C,297.49,2,C_001;C_003
molecule_024,N,412.67,1,N_002
molecule_025,C,296.05,2,C_004;C_005
molecule_025,C,296.93,2,C_001;C_003
molecule_025,N,414.23,1,N_002
molecule_026,C,299.60,1,C_001
molecule_026,N,414.68,1,N_002
molecule_027,C,298.85,1,C_002
molecule_027,C,298.91,1,C_001
molecule_027,N,413.33,1,N_003
molecule_028,C,297.59,2,C_002;C_003
molecule_028,N,413.02,1,N_001
molecule_029,C,296.79,1,C_001
molecule_029,C,297.71,1,C_002
molecule_029,N,412.98,1,N_003
molecule_030,C,297.46,3,C_002;C_003;C_004
molecule_030,N,412.96,1,N_001
molecule_031,C,296.71,1,C_005
molecule_031,C,296.72,1,C_003
molecule_031,C,297.43,2,C_002;C_004
molecule_031,N,412.58,1,N_001
molecule_032,C,295.72,2,C_006;C_007
molecule_032,C,295.74,1,C_001
molecule_032,C,295.79,1,C_010
molecule_032,C,296.56,1,C_002
molecule_032,C,296.88,1,C_008
molecule_032,C,297.26,1,C_004
molecule_032,C,297.30,1,C_005
molecule_032,N,412.69,1,N_003
molecule_032,N,412.99,1,N_009
molecule_033,C,296.62,2,C_006;C_009
molecule_033,C,296.84,2,C_001;C_005
molecule_033,C,297.21,1,C_002
molecule_033,C,297.58,1,C_003
molecule_033,C,298.11,1,C_007
molecule_033,N,411.96,1,N_004
molecule_033,N,413.81,1,N_008
molecule_034,C,296.65,1,C_002
molecule_034,C,296.67,1,C_003
molecule_034,C,297.68,1,C_001
molecule_034,N,412.78,1,N_004
molecule_035,C,296.52,2,C_002;C_004
molecule_035,C,296.55,1,C_003
molecule_035,C,297.68,1,C_001
molecule_035,N,412.62,1,N_005
molecule_036,O,548.79,1,O_001
molecule_037,C,297.62,1,C_003
molecule_037,C,300.18,1,C_001
molecule_037,O,547.49,1,O_002
molecule_038,C,298.67,1,C_001
molecule_038,O,548.14,1,O_002
molecule_039,C,296.85,2,C_002;C_003
molecule_039,C,298.44,1,C_001
