System,Atom,Value,N_Atoms,Atom_indices
C2H4,C,292.11,2,C_001;C_002
C2H4O,C,293.17,1,C_002
C2H4O,C,293.66,1,C_001
C2H4O,O,541.13,1,O_006
C2H6,C,293.98,2,C_001;C_002
C3H6,C,292.23,1,C_003
C3H6,C,292.42,1,C_005
C3H6,C,294.14,1,C_002
C3H8,C,293.95,2,C_002;C_008
C3H8,C,294.23,1,C_005
CH2O,C,292.71,1,C_001
CH2O,O,540.90,1,O_004
CH4O,C,295.30,1,C_001
CH4O,O,544.05,1,O_006
CO2,C,296.64,1,C_001
CO2,O,545.09,2,O_002;O_003
THF,C,294.32,2,C_001;C_003
THF,C,295.50,2,C_002;C_004
THF,O,544.71,1,O_005
THFn,C,294.36,2,C_009;C_023
THFn,C,294.41,2,C_002;C_020
THFn,C,295.41,2,C_012;C_026
THFn,C,295.54,2,C_001;C_017
THFn,O,544.05,2,O_004;O_018
THFn,O,544.90,1,O_007
