System,Atom,Value,N_Atoms,Atom_indices
C2H4,C,293.83,2,C_001;C_002
C2H4O,C,295.45,1,C_001
C2H4O,C,296.29,1,C_002
C2H4O,O,543.95,1,O_006
C2H6,C,295.50,2,C_001;C_002
C3H6,C,293.54,1,C_003
C3H6,C,293.93,1,C_005
C3H6,C,295.56,1,C_002
C3H8,C,295.43,2,C_002;C_008
C3H8,C,295.68,1,C_005
CH2O,C,296.26,1,C_001
CH2O,O,544.30,1,O_004
CH4O,C,296.99,1,C_001
CH4O,O,545.81,1,O_006
CO2,C,298.59,1,C_001
CO2,O,546.95,2,O_002;O_003
THF,C,295.85,2,C_001;C_003
THF,C,296.96,2,C_002;C_004
THF,O,546.08,1,O_005
THFn,C,295.73,2,C_002;C_020
THFn,C,295.79,2,C_009;C_023
THFn,C,296.89,2,C_001;C_017
THFn,C,296.96,2,C_012;C_026
THFn,O,545.66,2,O_004;O_018
THFn,O,546.20,1,O_007
