System,Atom,Value,N_Atoms,Atom_indices
Ca_C2H4,C,291.46,2,C_056;C_058
Ca_C2H4,C,291.47,2,C_055;C_057
Ca_C2H4,Ca,426.46,1,Ca_009
Ca_C2H4,Ca,426.47,11,Ca_001;Ca_002;Ca_003;Ca_004;Ca_007;Ca_008;Ca_047;Ca_050;Ca_051;Ca_053;Ca_054
Ca_C2H4,Ca,426.48,4,Ca_005;Ca_046;Ca_049;Ca_052
Ca_C2H4,Ca,426.49,2,Ca_006;Ca_048
Ca_C2H4,Ca,426.51,6,Ca_019;Ca_021;Ca_026;Ca_030;Ca_031;Ca_033
Ca_C2H4,Ca,426.52,5,Ca_020;Ca_023;Ca_028;Ca_029;Ca_034
Ca_C2H4,Ca,426.53,5,Ca_022;Ca_024;Ca_025;Ca_032;Ca_035
Ca_C2H4,Ca,426.54,2,Ca_027;Ca_036
Ca_C2H4,Ca,426.71,2,Ca_018;Ca_045
Ca_C2H4,Ca,426.91,4,Ca_012;Ca_016;Ca_041;Ca_044
Ca_C2H4,Ca,426.92,10,Ca_010;Ca_011;Ca_013;Ca_014;Ca_015;Ca_017;Ca_038;Ca_040;Ca_042;Ca_043
Ca_C2H4,Ca,426.93,2,Ca_037;Ca_039
CaH2_C2H4,C,291.82,1,C_154
CaH2_C2H4,C,291.86,1,C_155
CaH2_C2H4,C,291.87,1,C_153
CaH2_C2H4,C,292.01,1,C_156
CaH2_C2H4,Ca,426.90,1,Ca_002
CaH2_C2H4,Ca,426.99,1,Ca_046
CaH2_C2H4,Ca,427.12,1,Ca_011
CaH2_C2H4,Ca,427.13,1,Ca_009
CaH2_C2H4,Ca,427.14,4,Ca_003;Ca_038;Ca_039;Ca_047
CaH2_C2H4,Ca,427.15,6,Ca_001;Ca_004;Ca_010;Ca_037;Ca_040;Ca_045
CaH2_C2H4,Ca,427.16,2,Ca_012;Ca_048
CaH2_C2H4,Ca,427.24,1,Ca_014
CaH2_C2H4,Ca,427.28,1,Ca_018
CaH2_C2H4,Ca,427.29,4,Ca_008;Ca_021;Ca_024;Ca_027
CaH2_C2H4,Ca,427.30,14,Ca_013;Ca_017;Ca_019;Ca_020;Ca_022;Ca_023;Ca_025;Ca_026;Ca_028;Ca_029;Ca_031;Ca_032;Ca_033;Ca_041
CaH2_C2H4,Ca,427.31,3,Ca_006;Ca_030;Ca_034
CaH2_C2H4,Ca,427.32,2,Ca_005;Ca_007
CaH2_C2H4,Ca,427.33,6,Ca_015;Ca_016;Ca_035;Ca_042;Ca_043;Ca_044
CaH2_C2H4,Ca,427.34,1,Ca_036
CaO_C2H4,C,291.98,2,C_109;C_111
CaO_C2H4,C,292.03,2,C_110;C_112
CaO_C2H4,Ca,427.00,2,Ca_009;Ca_054
CaO_C2H4,Ca,427.01,2,Ca_003;Ca_051
CaO_C2H4,Ca,427.02,2,Ca_007;Ca_053
CaO_C2H4,Ca,427.03,2,Ca_001;Ca_050
CaO_C2H4,Ca,427.04,6,Ca_002;Ca_005;Ca_008;Ca_046;Ca_049;Ca_052
CaO_C2H4,Ca,427.05,4,Ca_004;Ca_006;Ca_047;Ca_048
CaO_C2H4,Ca,427.09,2,Ca_018;Ca_045
CaO_C2H4,Ca,427.14,2,Ca_027;Ca_036
CaO_C2H4,Ca,427.15,14,Ca_019;Ca_020;Ca_021;Ca_022;Ca_023;Ca_025;Ca_026;Ca_028;Ca_029;Ca_031;Ca_032;Ca_033;Ca_034;Ca_035
CaO_C2H4,Ca,427.16,2,Ca_024;Ca_030
CaO_C2H4,Ca,427.29,4,Ca_013;Ca_014;Ca_037;Ca_038
CaO_C2H4,Ca,427.30,2,Ca_011;Ca_040
CaO_C2H4,Ca,427.31,2,Ca_010;Ca_041
CaO_C2H4,Ca,427.33,2,Ca_012;Ca_042
CaO_C2H4,Ca,427.34,2,Ca_016;Ca_044
CaO_C2H4,Ca,427.35,2,Ca_015;Ca_039
CaO_C2H4,Ca,427.36,2,Ca_017;Ca_043
CaO_C2H4,O,540.01,2,O_068;O_091
CaO_C2H4,O,540.03,8,O_065;O_066;O_069;O_071;O_093;O_094;O_096;O_097
CaO_C2H4,O,540.05,4,O_067;O_072;O_092;O_099
CaO_C2H4,O,540.07,4,O_064;O_070;O_095;O_098
CaO_C2H4,O,540.69,2,O_063;O_108
CaO_C2H4,O,540.72,12,O_055;O_056;O_057;O_058;O_059;O_062;O_100;O_101;O_103;O_104;O_105;O_106
CaO_C2H4,O,540.73,4,O_060;O_061;O_102;O_107
CaO_C2H4,O,540.81,4,O_080;O_081;O_088;O_090
CaO_C2H4,O,540.82,10,O_073;O_076;O_077;O_078;O_079;O_082;O_083;O_084;O_086;O_089
CaO_C2H4,O,540.83,4,O_074;O_075;O_085;O_087
CaO_OH2_C2H4,C,292.09,2,C_171;C_173
CaO_OH2_C2H4,C,292.12,1,C_172
CaO_OH2_C2H4,C,292.19,1,C_174
CaO_OH2_C2H4,Ca,427.00,6,Ca_029;Ca_030;Ca_031;Ca_032;Ca_033;Ca_035
CaO_OH2_C2H4,Ca,427.01,12,Ca_019;Ca_020;Ca_021;Ca_022;Ca_023;Ca_024;Ca_025;Ca_026;Ca_027;Ca_028;Ca_034;Ca_036
CaO_OH2_C2H4,Ca,427.10,1,Ca_003
CaO_OH2_C2H4,Ca,427.11,3,Ca_002;Ca_009;Ca_053
CaO_OH2_C2H4,Ca,427.12,14,Ca_001;Ca_004;Ca_005;Ca_006;Ca_007;Ca_008;Ca_046;Ca_047;Ca_048;Ca_049;Ca_050;Ca_051;Ca_052;Ca_054
CaO_OH2_C2H4,Ca,427.45,2,Ca_014;Ca_039
CaO_OH2_C2H4,Ca,427.46,3,Ca_037;Ca_041;Ca_043
CaO_OH2_C2H4,Ca,427.47,8,Ca_011;Ca_015;Ca_016;Ca_038;Ca_040;Ca_042;Ca_044;Ca_045
CaO_OH2_C2H4,Ca,427.48,3,Ca_010;Ca_017;Ca_018
CaO_OH2_C2H4,Ca,427.49,2,Ca_012;Ca_013
CaO_OH2_C2H4,O,540.82,2,O_105;O_108
CaO_OH2_C2H4,O,540.83,2,O_103;O_107
CaO_OH2_C2H4,O,540.84,8,O_056;O_057;O_058;O_061;O_062;O_102;O_104;O_106
CaO_OH2_C2H4,O,540.85,6,O_055;O_059;O_060;O_063;O_100;O_101
CaO_OH2_C2H4,O,541.01,1,O_089
CaO_OH2_C2H4,O,541.02,8,O_082;O_083;O_084;O_085;O_086;O_087;O_088;O_090
CaO_OH2_C2H4,O,541.03,4,O_074;O_079;O_080;O_081
CaO_OH2_C2H4,O,541.04,4,O_073;O_075;O_076;O_078
CaO_OH2_C2H4,O,541.05,1,O_077
CaO_OH2_C2H4,O,542.38,1,O_109
CaO_OH2_C2H4,O,542.39,2,O_110;O_117
CaO_OH2_C2H4,O,542.40,1,O_111
CaO_OH2_C2H4,O,542.43,1,O_125
CaO_OH2_C2H4,O,542.44,4,O_113;O_115;O_119;O_124
CaO_OH2_C2H4,O,542.46,1,O_114
CaO_OH2_C2H4,O,542.47,3,O_118;O_120;O_126
CaO_OH2_C2H4,O,542.48,3,O_112;O_122;O_123
CaO_OH2_C2H4,O,542.49,1,O_121
CaO_OH2_C2H4,O,542.51,1,O_116
CaO_OH2_C2H4,O,542.58,1,O_066
CaO_OH2_C2H4,O,542.59,1,O_068
CaO_OH2_C2H4,O,542.60,1,O_065
CaO_OH2_C2H4,O,542.61,3,O_067;O_071;O_098
CaO_OH2_C2H4,O,542.62,3,O_064;O_072;O_095
CaO_OH2_C2H4,O,542.64,2,O_069;O_070
CaO_OH2_C2H4,O,542.65,1,O_096
CaO_OH2_C2H4,O,542.66,4,O_093;O_094;O_097;O_099
CaO_OH2_C2H4,O,542.67,2,O_091;O_092
Ca_C2H4O,C,291.45,2,C_056;C_058
Ca_C2H4O,C,292.90,2,C_055;C_057
Ca_C2H4O,Ca,426.46,2,Ca_002;Ca_049
Ca_C2H4O,Ca,426.47,6,Ca_001;Ca_003;Ca_005;Ca_046;Ca_050;Ca_051
Ca_C2H4O,Ca,426.48,2,Ca_008;Ca_052
Ca_C2H4O,Ca,426.50,6,Ca_004;Ca_006;Ca_047;Ca_048;Ca_053;Ca_054
Ca_C2H4O,Ca,426.51,2,Ca_007;Ca_009
Ca_C2H4O,Ca,426.53,7,Ca_022;Ca_023;Ca_025;Ca_027;Ca_028;Ca_029;Ca_034
Ca_C2H4O,Ca,426.54,5,Ca_024;Ca_026;Ca_030;Ca_035;Ca_036
Ca_C2H4O,Ca,426.55,6,Ca_019;Ca_020;Ca_021;Ca_031;Ca_032;Ca_033
Ca_C2H4O,Ca,426.76,1,Ca_012
Ca_C2H4O,Ca,426.77,1,Ca_042
Ca_C2H4O,Ca,426.81,2,Ca_018;Ca_045
Ca_C2H4O,Ca,426.91,2,Ca_017;Ca_040
Ca_C2H4O,Ca,426.92,5,Ca_011;Ca_014;Ca_038;Ca_041;Ca_043
Ca_C2H4O,Ca,426.93,5,Ca_010;Ca_013;Ca_016;Ca_037;Ca_044
Ca_C2H4O,Ca,426.98,1,Ca_039
Ca_C2H4O,Ca,426.99,1,Ca_015
Ca_C2H4O,O,541.70,2,O_067;O_068
CaH2_C2H4O,C,293.12,2,C_154;C_156
CaH2_C2H4O,C,293.15,2,C_153;C_155
CaH2_C2H4O,Ca,427.12,2,Ca_002;Ca_046
CaH2_C2H4O,Ca,427.21,2,Ca_006;Ca_024
CaH2_C2H4O,Ca,427.22,2,Ca_014;Ca_043
CaH2_C2H4O,Ca,427.23,4,Ca_018;Ca_026;Ca_030;Ca_033
CaH2_C2H4O,Ca,427.24,3,Ca_008;Ca_022;Ca_034
CaH2_C2H4O,Ca,427.25,2,Ca_013;Ca_041
CaH2_C2H4O,Ca,427.26,4,Ca_020;Ca_027;Ca_028;Ca_032
CaH2_C2H4O,Ca,427.27,3,Ca_009;Ca_025;Ca_039
CaH2_C2H4O,Ca,427.28,3,Ca_017;Ca_021;Ca_029
CaH2_C2H4O,Ca,427.29,1,Ca_023
CaH2_C2H4O,Ca,427.31,1,Ca_019
CaH2_C2H4O,Ca,427.32,1,Ca_031
CaH2_C2H4O,Ca,427.33,3,Ca_001;Ca_003;Ca_047
CaH2_C2H4O,Ca,427.34,5,Ca_010;Ca_011;Ca_037;Ca_040;Ca_045
CaH2_C2H4O,Ca,427.35,3,Ca_005;Ca_016;Ca_044
CaH2_C2H4O,Ca,427.36,5,Ca_004;Ca_007;Ca_035;Ca_042;Ca_048
CaH2_C2H4O,Ca,427.37,2,Ca_015;Ca_036
CaH2_C2H4O,Ca,427.40,2,Ca_012;Ca_038
CaH2_C2H4O,O,541.52,2,O_157;O_158
CaO_C2H4O,C,293.08,2,C_111;C_113
CaO_C2H4O,C,293.09,2,C_112;C_114
CaO_C2H4O,Ca,426.65,4,Ca_007;Ca_009;Ca_053;Ca_054
