System,Atom,Value,N_Atoms,Atom_indices
Ca_C2H4,C,294.19,2,C_056;C_058
Ca_C2H4,C,294.20,2,C_055;C_057
Ca_C2H4,Ca,429.20,4,Ca_007;Ca_009;Ca_051;Ca_053
Ca_C2H4,Ca,429.21,12,Ca_001;Ca_002;Ca_003;Ca_004;Ca_005;Ca_008;Ca_046;Ca_047;Ca_049;Ca_050;Ca_052;Ca_054
Ca_C2H4,Ca,429.22,2,Ca_006;Ca_048
Ca_C2H4,Ca,429.25,6,Ca_019;Ca_021;Ca_026;Ca_030;Ca_031;Ca_033
Ca_C2H4,Ca,429.26,7,Ca_020;Ca_022;Ca_023;Ca_028;Ca_029;Ca_032;Ca_034
Ca_C2H4,Ca,429.27,5,Ca_024;Ca_025;Ca_027;Ca_035;Ca_036
Ca_C2H4,Ca,429.49,2,Ca_018;Ca_045
Ca_C2H4,Ca,429.66,8,Ca_010;Ca_013;Ca_016;Ca_017;Ca_038;Ca_041;Ca_043;Ca_044
Ca_C2H4,Ca,429.67,7,Ca_011;Ca_012;Ca_014;Ca_015;Ca_037;Ca_040;Ca_042
Ca_C2H4,Ca,429.69,1,Ca_039
CaH2_C2H4,C,294.09,1,C_155
CaH2_C2H4,C,294.13,2,C_154;C_156
CaH2_C2H4,C,294.15,1,C_153
CaH2_C2H4,Ca,428.87,1,Ca_002
CaH2_C2H4,Ca,428.94,1,Ca_046
CaH2_C2H4,Ca,428.97,1,Ca_011
CaH2_C2H4,Ca,428.98,4,Ca_003;Ca_009;Ca_039;Ca_047
CaH2_C2H4,Ca,428.99,5,Ca_004;Ca_012;Ca_037;Ca_040;Ca_045
CaH2_C2H4,Ca,429.00,7,Ca_001;Ca_014;Ca_019;Ca_021;Ca_027;Ca_031;Ca_048
CaH2_C2H4,Ca,429.01,9,Ca_010;Ca_020;Ca_023;Ca_024;Ca_025;Ca_026;Ca_028;Ca_029;Ca_032
CaH2_C2H4,Ca,429.02,9,Ca_008;Ca_013;Ca_017;Ca_018;Ca_022;Ca_033;Ca_038;Ca_041;Ca_044
CaH2_C2H4,Ca,429.03,6,Ca_005;Ca_007;Ca_015;Ca_034;Ca_036;Ca_042
CaH2_C2H4,Ca,429.04,5,Ca_006;Ca_016;Ca_030;Ca_035;Ca_043
CaO_C2H4,C,293.90,2,C_109;C_111
CaO_C2H4,C,293.92,2,C_110;C_112
CaO_C2H4,Ca,428.55,2,Ca_009;Ca_054
CaO_C2H4,Ca,428.57,4,Ca_003;Ca_007;Ca_051;Ca_053
CaO_C2H4,Ca,428.58,2,Ca_001;Ca_050
CaO_C2H4,Ca,428.61,10,Ca_002;Ca_004;Ca_005;Ca_006;Ca_008;Ca_046;Ca_047;Ca_048;Ca_049;Ca_052
CaO_C2H4,Ca,428.64,2,Ca_027;Ca_036
CaO_C2H4,Ca,428.65,2,Ca_018;Ca_045
CaO_C2H4,Ca,428.66,16,Ca_019;Ca_020;Ca_021;Ca_022;Ca_023;Ca_024;Ca_025;Ca_026;Ca_028;Ca_029;Ca_030;Ca_031;Ca_032;Ca_033;Ca_034;Ca_035
CaO_C2H4,Ca,428.96,8,Ca_012;Ca_013;Ca_014;Ca_015;Ca_037;Ca_038;Ca_039;Ca_042
CaO_C2H4,Ca,428.97,2,Ca_011;Ca_040
CaO_C2H4,Ca,428.98,4,Ca_010;Ca_016;Ca_041;Ca_044
CaO_C2H4,Ca,429.01,2,Ca_017;Ca_043
CaO_C2H4,O,541.66,4,O_066;O_072;O_096;O_099
CaO_C2H4,O,541.67,2,O_070;O_098
CaO_C2H4,O,541.68,2,O_064;O_095
CaO_C2H4,O,541.70,9,O_065;O_067;O_068;O_069;O_071;O_091;O_092;O_093;O_097
CaO_C2H4,O,541.71,1,O_094
CaO_C2H4,O,542.26,2,O_063;O_108
CaO_C2H4,O,542.30,2,O_057;O_105
CaO_C2H4,O,542.31,14,O_055;O_056;O_058;O_059;O_060;O_061;O_062;O_100;O_101;O_102;O_103;O_104;O_106;O_107
CaO_C2H4,O,542.35,8,O_077;O_078;O_080;O_081;O_082;O_084;O_088;O_090
CaO_C2H4,O,542.36,6,O_074;O_076;O_079;O_083;O_085;O_089
CaO_C2H4,O,542.37,4,O_073;O_075;O_086;O_087
CaO_OH2_C2H4,C,293.82,1,C_173
CaO_OH2_C2H4,C,293.85,1,C_172
CaO_OH2_C2H4,C,293.87,1,C_174
CaO_OH2_C2H4,C,293.88,1,C_171
CaO_OH2_C2H4,Ca,428.48,6,Ca_029;Ca_030;Ca_031;Ca_032;Ca_033;Ca_035
CaO_OH2_C2H4,Ca,428.49,5,Ca_021;Ca_027;Ca_028;Ca_034;Ca_036
CaO_OH2_C2H4,Ca,428.50,7,Ca_019;Ca_020;Ca_022;Ca_023;Ca_024;Ca_025;Ca_026
CaO_OH2_C2H4,Ca,428.57,1,Ca_003
CaO_OH2_C2H4,Ca,428.58,2,Ca_002;Ca_009
CaO_OH2_C2H4,Ca,428.59,11,Ca_001;Ca_004;Ca_005;Ca_006;Ca_007;Ca_008;Ca_047;Ca_048;Ca_051;Ca_052;Ca_053
