System,Atom,Value,N_Atoms,Atom_indices
CaH2_slab/3,Ca,131.67,4,Ca_022;Ca_024;Ca_029;Ca_031
CaH2_slab/3,Ca,131.68,28,Ca_001;Ca_002;Ca_003;Ca_004;Ca_009;Ca_010;Ca_011;Ca_012;Ca_017;Ca_018;Ca_019;Ca_020;Ca_021;Ca_023;Ca_025;Ca_026;Ca_027;Ca_028;Ca_030;Ca_032;Ca_037;Ca_038;Ca_039;Ca_040;Ca_045;Ca_046;Ca_047;Ca_048
CaH2_slab/3,Ca,131.71,16,Ca_005;Ca_006;Ca_007;Ca_008;Ca_013;Ca_014;Ca_015;Ca_016;Ca_033;Ca_034;Ca_035;Ca_036;Ca_041;Ca_042;Ca_043;Ca_044
CaH2_slab/4,Ca,131.65,16,Ca_017;Ca_018;Ca_019;Ca_020;Ca_025;Ca_026;Ca_027;Ca_028;Ca_037;Ca_038;Ca_039;Ca_040;Ca_045;Ca_046;Ca_047;Ca_048
CaH2_slab/4,Ca,131.69,16,Ca_001;Ca_002;Ca_003;Ca_004;Ca_009;Ca_010;Ca_011;Ca_012;Ca_053;Ca_054;Ca_055;Ca_056;Ca_061;Ca_062;Ca_063;Ca_064
CaH2_slab/4,Ca,131.71,16,Ca_021;Ca_022;Ca_023;Ca_024;Ca_029;Ca_030;Ca_031;Ca_032;Ca_033;Ca_034;Ca_035;Ca_036;Ca_041;Ca_042;Ca_043;Ca_044
CaH2_slab/4,Ca,131.72,16,Ca_005;Ca_006;Ca_007;Ca_008;Ca_013;Ca_014;Ca_015;Ca_016;Ca_049;Ca_050;Ca_051;Ca_052;Ca_057;Ca_058;Ca_059;Ca_060
CaH2_slab/5,Ca,131.67,11,Ca_017;Ca_018;Ca_019;Ca_020;Ca_025;Ca_026;Ca_027;Ca_028;Ca_053;Ca_061;Ca_064
CaH2_slab/5,Ca,131.68,5,Ca_054;Ca_055;Ca_056;Ca_062;Ca_063
CaH2_slab/5,Ca,131.69,15,Ca_001;Ca_002;Ca_003;Ca_004;Ca_009;Ca_011;Ca_012;Ca_069;Ca_070;Ca_071;Ca_072;Ca_077;Ca_078;Ca_079;Ca_080
CaH2_slab/5,Ca,131.70,12,Ca_010;Ca_022;Ca_023;Ca_024;Ca_029;Ca_030;Ca_031;Ca_032;Ca_051;Ca_058;Ca_059;Ca_060
CaH2_slab/5,Ca,131.71,13,Ca_021;Ca_034;Ca_035;Ca_037;Ca_039;Ca_041;Ca_046;Ca_047;Ca_048;Ca_049;Ca_050;Ca_052;Ca_057
CaH2_slab/5,Ca,131.72,8,Ca_033;Ca_036;Ca_038;Ca_040;Ca_042;Ca_043;Ca_044;Ca_045
CaH2_slab/5,Ca,131.73,16,Ca_005;Ca_006;Ca_007;Ca_008;Ca_013;Ca_014;Ca_015;Ca_016;Ca_065;Ca_066;Ca_067;Ca_068;Ca_073;Ca_074;Ca_075;Ca_076
CaH2_slab/6,Ca,131.68,16,Ca_017;Ca_018;Ca_019;Ca_020;Ca_025;Ca_026;Ca_027;Ca_028;Ca_069;Ca_070;Ca_071;Ca_072;Ca_077;Ca_078;Ca_079;Ca_080
CaH2_slab/6,Ca,131.69,16,Ca_001;Ca_002;Ca_003;Ca_004;Ca_009;Ca_010;Ca_011;Ca_012;Ca_085;Ca_086;Ca_087;Ca_088;Ca_093;Ca_094;Ca_095;Ca_096
CaH2_slab/6,Ca,131.70,14,Ca_033;Ca_034;Ca_035;Ca_041;Ca_042;Ca_043;Ca_044;Ca_053;Ca_055;Ca_056;Ca_061;Ca_062;Ca_063;Ca_064
CaH2_slab/6,Ca,131.71,16,Ca_021;Ca_022;Ca_023;Ca_024;Ca_029;Ca_030;Ca_031;Ca_032;Ca_065;Ca_066;Ca_067;Ca_068;Ca_073;Ca_074;Ca_075;Ca_076
CaH2_slab/6,Ca,131.72,16,Ca_037;Ca_038;Ca_039;Ca_040;Ca_045;Ca_046;Ca_047;Ca_048;Ca_049;Ca_050;Ca_051;Ca_052;Ca_057;Ca_058;Ca_059;Ca_060
CaH2_slab/6,Ca,131.73,18,Ca_005;Ca_006;Ca_007;Ca_008;Ca_013;Ca_014;Ca_015;Ca_016;Ca_036;Ca_054;Ca_081;Ca_082;Ca_083;Ca_084;Ca_089;Ca_090;Ca_091;Ca_092
CaH2_slab/7,Ca,131.69,26,Ca_001;Ca_003;Ca_009;Ca_012;Ca_017;Ca_018;Ca_019;Ca_020;Ca_025;Ca_026;Ca_027;Ca_028;Ca_085;Ca_086;Ca_087;Ca_088;Ca_093;Ca_094;Ca_095;Ca_096;Ca_102;Ca_103;Ca_104;Ca_109;Ca_110;Ca_112
CaH2_slab/7,Ca,131.70,6,Ca_002;Ca_004;Ca_010;Ca_011;Ca_101;Ca_111
