System,Atom,z_slab,z_depth
CaH2_slab/3,Ca_001,0.048,0.452
CaH2_slab/3,Ca_002,0.048,0.452
CaH2_slab/3,Ca_003,0.048,0.452
CaH2_slab/3,Ca_004,0.048,0.452
CaH2_slab/3,Ca_005,0.217,0.283
CaH2_slab/3,Ca_006,0.217,0.283
CaH2_slab/3,Ca_007,0.217,0.283
CaH2_slab/3,Ca_008,0.217,0.283
CaH2_slab/3,Ca_009,0.048,0.452
CaH2_slab/3,Ca_010,0.048,0.452
CaH2_slab/3,Ca_011,0.048,0.452
CaH2_slab/3,Ca_012,0.048,0.452
CaH2_slab/3,Ca_013,0.217,0.283
CaH2_slab/3,Ca_014,0.217,0.283
CaH2_slab/3,Ca_015,0.217,0.283
CaH2_slab/3,Ca_016,0.217,0.283
CaH2_slab/3,Ca_017,0.407,0.093
CaH2_slab/3,Ca_018,0.407,0.093
CaH2_slab/3,Ca_019,0.407,0.093
CaH2_slab/3,Ca_020,0.407,0.093
CaH2_slab/3,Ca_021,0.593,0.093
CaH2_slab/3,Ca_022,0.593,0.093
CaH2_slab/3,Ca_023,0.593,0.093
CaH2_slab/3,Ca_024,0.593,0.093
CaH2_slab/3,Ca_025,0.407,0.093
CaH2_slab/3,Ca_026,0.407,0.093
CaH2_slab/3,Ca_027,0.407,0.093
CaH2_slab/3,Ca_028,0.407,0.093
CaH2_slab/3,Ca_029,0.593,0.093
CaH2_slab/3,Ca_030,0.593,0.093
CaH2_slab/3,Ca_031,0.593,0.093
CaH2_slab/3,Ca_032,0.593,0.093
CaH2_slab/3,Ca_033,0.783,0.283
CaH2_slab/3,Ca_034,0.783,0.283
CaH2_slab/3,Ca_035,0.783,0.283
CaH2_slab/3,Ca_036,0.783,0.283
CaH2_slab/3,Ca_037,0.952,0.452
CaH2_slab/3,Ca_038,0.952,0.452
CaH2_slab/3,Ca_039,0.952,0.452
CaH2_slab/3,Ca_040,0.952,0.452
CaH2_slab/3,Ca_041,0.783,0.283
CaH2_slab/3,Ca_042,0.783,0.283
CaH2_slab/3,Ca_043,0.783,0.283
CaH2_slab/3,Ca_044,0.783,0.283
CaH2_slab/3,Ca_045,0.952,0.452
CaH2_slab/3,Ca_046,0.952,0.452
CaH2_slab/3,Ca_047,0.952,0.452
CaH2_slab/3,Ca_048,0.952,0.452
CaH2_slab/4,Ca_001,0.035,0.465
CaH2_slab/4,Ca_002,0.035,0.465
CaH2_slab/4,Ca_003,0.035,0.465
CaH2_slab/4,Ca_004,0.035,0.465
CaH2_slab/4,Ca_005,0.158,0.342
CaH2_slab/4,Ca_006,0.158,0.342
CaH2_slab/4,Ca_007,0.158,0.342
CaH2_slab/4,Ca_008,0.158,0.342
CaH2_slab/4,Ca_009,0.035,0.465
CaH2_slab/4,Ca_010,0.035,0.465
CaH2_slab/4,Ca_011,0.035,0.465
CaH2_slab/4,Ca_012,0.035,0.465
CaH2_slab/4,Ca_013,0.158,0.342
CaH2_slab/4,Ca_014,0.158,0.342
CaH2_slab/4,Ca_015,0.158,0.342
CaH2_slab/4,Ca_016,0.158,0.342
CaH2_slab/4,Ca_017,0.300,0.200
CaH2_slab/4,Ca_018,0.300,0.200
CaH2_slab/4,Ca_019,0.300,0.200
CaH2_slab/4,Ca_020,0.300,0.200
CaH2_slab/4,Ca_021,0.432,0.068
CaH2_slab/4,Ca_022,0.432,0.068
CaH2_slab/4,Ca_023,0.432,0.068
CaH2_slab/4,Ca_024,0.432,0.068
CaH2_slab/4,Ca_025,0.300,0.200
CaH2_slab/4,Ca_026,0.300,0.200
CaH2_slab/4,Ca_027,0.300,0.200
CaH2_slab/4,Ca_028,0.300,0.200
CaH2_slab/4,Ca_029,0.432,0.068
CaH2_slab/4,Ca_030,0.432,0.068
CaH2_slab/4,Ca_031,0.432,0.068
CaH2_slab/4,Ca_032,0.432,0.068
CaH2_slab/4,Ca_033,0.568,0.068
CaH2_slab/4,Ca_034,0.568,0.068
CaH2_slab/4,Ca_035,0.568,0.068
CaH2_slab/4,Ca_036,0.568,0.068
CaH2_slab/4,Ca_037,0.700,0.200
CaH2_slab/4,Ca_038,0.700,0.200
CaH2_slab/4,Ca_039,0.700,0.200
CaH2_slab/4,Ca_040,0.700,0.200
CaH2_slab/4,Ca_041,0.568,0.068
CaH2_slab/4,Ca_042,0.568,0.068
CaH2_slab/4,Ca_043,0.568,0.068
